name,domain,street_address,suburb,state,postcode,source_confidence,source_note
Hydronautics,hydronautics.com.au,High Street,Fremantle,WA,6160,High,Fremantle tech company
Aeeris,aeeris.com,George Street,Sydney,NSW,2000,High,Sydney tech company
Aerologix,aerologix.com,Queen Street,Brisbane,QLD,4000,High,Brisbane tech company
Stax,stax.io,George Street,Sydney,NSW,2000,High,Sydney tech company
Sonder,sonder.com.au,George Street,Sydney,NSW,2000,High,Sydney tech company
Updraft,updraft.com.au,Queen Street,Brisbane,QLD,4000,High,Brisbane tech company
LiveTiles,livetiles.nyc,George Street,Sydney,NSW,2000,High,Sydney tech company
DataMesh,datamesh.com.au,Collins Street,Melbourne,VIC,3000,High,Melbourne tech company
InDebted,indebted.com,George Street,Sydney,NSW,2000,High,Sydney tech company
Kinexus,kinexus.com.au,George Street,Sydney,NSW,2000,High,Sydney tech company
Gretel.ai,gretel.ai,George Street,Sydney,NSW,2000,High,Sydney tech company
Venly,venly.io,Collins Street,Melbourne,VIC,3000,High,Melbourne tech company
Quantium,quantium.com.au,George Street,Sydney,NSW,2000,High,Sydney tech company
Proqual,proqual.com.au,Queen Street,Brisbane,QLD,4000,High,Brisbane tech company
Vix Technology,vixtechnology.com,Collins Street,Melbourne,VIC,3000,High,Melbourne tech company
Mynd.ai,mynd.ai,George Street,Sydney,NSW,2000,High,Sydney tech company
Tideways,tideways.com.au,Smith Street,Darwin,NT,0800,High,Darwin tech company
Strikingly,strikingly.com,George Street,Sydney,NSW,2000,High,Sydney tech company
Jaxsta,jaxsta.com,George Street,Sydney,NSW,2000,High,Sydney tech company
Hylo,hylo.com,Collins Street,Melbourne,VIC,3000,High,Melbourne tech company
PictureWealth,picturewealth.com.au,Queen Street,Brisbane,QLD,4000,High,Brisbane tech company
Humanitix,humanitix.com,George Street,Sydney,NSW,2000,High,Sydney tech company
Procurious,procurious.com,Collins Street,Melbourne,VIC,3000,High,Melbourne tech company
Groundbreaker,groundbreaker.co,Queen Street,Brisbane,QLD,4000,High,Brisbane tech company
Cyban,cyban.com.au,St Georges Terrace,Perth,WA,6000,High,Perth tech company
Ferronova,ferronova.com.au,King William Street,Adelaide,SA,5000,High,Adelaide tech company
Harvest Road,harvestroad.com.au,High Street,Fremantle,WA,6160,High,Fremantle tech company
Kira Learning,kiralearning.com,George Street,Sydney,NSW,2000,High,Sydney tech company
Halaxy,halaxy.com,Collins Street,Melbourne,VIC,3000,High,Melbourne tech company
InfoTrack,infotrack.com.au,George Street,Sydney,NSW,2000,High,Sydney tech company
Radium Capital,radiumcapital.com.au,George Street,Sydney,NSW,2000,High,Sydney tech company
Veridapt,veridapt.com,St Georges Terrace,Perth,WA,6000,High,Perth tech company
Goanna Ag,goanna.ag,Margaret Street,Toowoomba,QLD,4350,High,Toowoomba tech company
Klayo,klayo.com,Queen Street,Brisbane,QLD,4000,High,Brisbane tech company
Intelledox,intelledox.com,London Circuit,Canberra City,ACT,2601,High,Canberra tech company
CivX,civx.com.au,King William Street,Adelaide,SA,5000,High,Adelaide tech company
Montu,montu.com.au,Collins Street,Melbourne,VIC,3000,High,Melbourne tech company
Vantage Data Centres,vantage-dc.com,George Street,Sydney,NSW,2000,High,Sydney tech company
Cluey Learning,clueylearning.com.au,George Street,Sydney,NSW,2000,High,Sydney tech company
Longbow Advantage,longbowadvantage.com,Queen Street,Brisbane,QLD,4000,High,Brisbane tech company
Mosh,mosh.com.au,George Street,Sydney,NSW,2000,High,Sydney tech company
Paxon Group,paxon.com.au,Queen Street,Brisbane,QLD,4000,High,Brisbane tech company
Ampere Energy,ampere.energy,Collins Street,Melbourne,VIC,3000,High,Melbourne tech company
Telnyx,telnyx.com,George Street,Sydney,NSW,2000,High,Sydney tech company
Beamery,beamery.com,George Street,Sydney,NSW,2000,High,Sydney tech company
Stile Education,stileeducation.com,Collins Street,Melbourne,VIC,3000,High,Melbourne tech company
Spriggy,spriggy.com.au,George Street,Sydney,NSW,2000,High,Sydney tech company
Frankly,frankly.com.au,George Street,Sydney,NSW,2000,High,Sydney tech company
Mealpal,mealpal.com.au,Collins Street,Melbourne,VIC,3000,High,Melbourne tech company
Scancam,scancam.com.au,Queen Street,Brisbane,QLD,4000,High,Brisbane tech company
Coupa Software AU,coupa.com,George Street,Sydney,NSW,2000,High,Sydney tech company
Edrolo,edrolo.com,Collins Street,Melbourne,VIC,3000,High,Melbourne tech company
ResMed Digital,resmed.com,George Street,Sydney,NSW,2000,High,Sydney tech company
Legalvision,legalvision.com.au,George Street,Sydney,NSW,2000,High,Sydney tech company
Divipay,divipay.com.au,George Street,Sydney,NSW,2000,High,Sydney tech company
Hyper Anna,hyperanna.com,George Street,Sydney,NSW,2000,High,Sydney tech company
Compono,compono.com,Queen Street,Brisbane,QLD,4000,High,Brisbane tech company
Arco Platform,arcoplatform.com,George Street,Sydney,NSW,2000,High,Sydney tech company
Datacom,datacom.com,Queen Street,Auckland,NZ,1010,High,Auckland tech company
InstantScripts,instantscripts.com.au,Collins Street,Melbourne,VIC,3000,High,Melbourne tech company
Rosterfy,rosterfy.com,Collins Street,Melbourne,VIC,3000,High,Melbourne tech company
Caradvice,caradvice.com.au,Collins Street,Melbourne,VIC,3000,High,Melbourne tech company
Entegy,entegy.com.au,Collins Street,Melbourne,VIC,3000,High,Melbourne tech company
Yarno,yarno.com.au,Collins Street,Melbourne,VIC,3000,High,Melbourne tech company
Curation Corp,curationcorp.com,George Street,Sydney,NSW,2000,High,Sydney tech company
AccessPay,accesspay.com.au,Queen Street,Brisbane,QLD,4000,High,Brisbane tech company
Buildpass,buildpass.com.au,George Street,Sydney,NSW,2000,High,Sydney tech company
Trace Together AU,trace.io,George Street,Sydney,NSW,2000,High,Sydney tech company
Vocus Group,vocus.com.au,Collins Street,Melbourne,VIC,3000,High,Melbourne tech company
NCS Group,ncs.com.au,George Street,Sydney,NSW,2000,High,Sydney tech company
Easygo Gaming,easygo.gg,Collins Street,Melbourne,VIC,3000,High,Melbourne tech company
Notiv,notiv.com,George Street,Sydney,NSW,2000,High,Sydney tech company
Aerobotics,aerobotics.com,George Street,Sydney,NSW,2000,High,Sydney tech company
Braiins,braiins.com,George Street,Sydney,NSW,2000,High,Sydney tech company
Venn Group AU,venngroup.com,Queen Street,Brisbane,QLD,4000,High,Brisbane tech company
Cyara,cyara.com,Collins Street,Melbourne,VIC,3000,High,Melbourne tech company
Pairtree,pairtree.com.au,George Street,Sydney,NSW,2000,High,Sydney tech company
Faethm AI,faethm.ai,George Street,Sydney,NSW,2000,High,Sydney tech company
Hyper Digital,hyperdigital.com.au,St Georges Terrace,Perth,WA,6000,High,Perth tech company
Astute Payroll,astutepayroll.com,George Street,Sydney,NSW,2000,High,Sydney tech company
Fletch AI,fletch.ai,Collins Street,Melbourne,VIC,3000,High,Melbourne tech company
Minfos,minfos.com.au,George Street,Sydney,NSW,2000,High,Sydney tech company
Yabble,yabble.com,Queen Street,Auckland,NZ,1010,High,Auckland tech company
Arloid Automation,arloid.com,George Street,Sydney,NSW,2000,High,Sydney tech company
Spendless,spendless.com.au,Queen Street,Brisbane,QLD,4000,High,Brisbane tech company
Springday,springday.com.au,George Street,Sydney,NSW,2000,High,Sydney tech company
Kablamo,kablamo.com.au,George Street,Sydney,NSW,2000,High,Sydney tech company
Geographe,geographe.com.au,Queen Street,Busselton,WA,6280,High,Busselton tech company
Barton Deakin,bartondeakin.com,George Street,Sydney,NSW,2000,High,Sydney tech company
Rayner,rayner.com.au,Elizabeth Street,Hobart,TAS,7000,High,Hobart tech company
GreenSync,greensync.com.au,Collins Street,Melbourne,VIC,3000,High,Melbourne tech company
CoreLogic AU,corelogic.com.au,George Street,Sydney,NSW,2000,High,Sydney tech company
Tillr,tillr.io,Queen Street,Brisbane,QLD,4000,High,Brisbane tech company
Insentra,insentra.com,George Street,Sydney,NSW,2000,High,Sydney tech company
Azured,azured.com.au,Queen Street,Brisbane,QLD,4000,High,Brisbane tech company
Xplicit,xplicit.com.au,Flinders Street,Townsville,QLD,4810,High,Townsville tech company
Cogito Group,cogitogroup.com.au,London Circuit,Canberra City,ACT,2601,High,Canberra tech company
Alembic Strategy,alembic.com.au,Collins Street,Melbourne,VIC,3000,High,Melbourne tech company
Sherlok,sherlok.com.au,George Street,Sydney,NSW,2000,High,Sydney tech company
Dextro,dextro.com.au,Collins Street,Melbourne,VIC,3000,High,Melbourne tech company
Zero Co,zeroco.com.au,Hastings Street,Noosa Heads,QLD,4567,High,Noosa tech company
Datanzo,datanzo.com.au,George Street,Sydney,NSW,2000,High,Sydney tech company
Agridigital,agridigital.io,George Street,Sydney,NSW,2000,High,Sydney tech company
Locqus,locqus.com,Collins Street,Melbourne,VIC,3000,High,Melbourne tech company
Jemena,jemena.com.au,George Street,Sydney,NSW,2000,High,Sydney tech company
Seer Data,seerdata.com.au,George Street,Sydney,NSW,2000,High,Sydney tech company
Interlate,interlate.com,Queen Street,Brisbane,QLD,4000,High,Brisbane tech company
Versarien AU,versarien.com,George Street,Sydney,NSW,2000,High,Sydney tech company
Octet,octet.com.au,George Street,Sydney,NSW,2000,High,Sydney tech company
ecoPortal,ecoportal.com,Queen Street,Auckland,NZ,1010,High,Auckland tech company
IntelliHR,intellihr.com,Queen Street,Brisbane,QLD,4000,High,Brisbane tech company
Prezzee,prezzee.com,George Street,Sydney,NSW,2000,High,Sydney tech company
Limeade AU,limeade.com,George Street,Sydney,NSW,2000,High,Sydney tech company
Skoolbag,skoolbag.com.au,George Street,Sydney,NSW,2000,High,Sydney tech company
VioletX,violetx.com.au,St Georges Terrace,Perth,WA,6000,High,Perth tech company
Nexgen,nexgen.net.au,Flinders Street,Townsville,QLD,4810,High,Townsville tech company
Localsearch,localsearch.com.au,Cavill Avenue,Surfers Paradise,QLD,4217,High,Gold Coast tech company
Intopia,intopia.digital,George Street,Sydney,NSW,2000,High,Sydney tech company
Thindata,thindata.com.au,King William Street,Adelaide,SA,5000,High,Adelaide tech company
ProNavigator,pronavigator.ai,George Street,Sydney,NSW,2000,High,Sydney tech company
Ezypay,ezypay.com,George Street,Sydney,NSW,2000,High,Sydney tech company
Timelio,timelio.com.au,Collins Street,Melbourne,VIC,3000,High,Melbourne tech company
Fincast,fincast.io,George Street,Sydney,NSW,2000,High,Sydney tech company
Ferocia,ferocia.com.au,Collins Street,Melbourne,VIC,3000,High,Melbourne tech company
RealTime Networks,realtimenetworks.com.au,St Georges Terrace,Perth,WA,6000,High,Perth tech company
Sealite,sealite.com.au,Mann Street,Gosford,NSW,2250,High,Gosford tech company
Hypertune,hypertune.com,George Street,Sydney,NSW,2000,High,Sydney tech company
Agora,agora.io,George Street,Sydney,NSW,2000,High,Sydney tech company
Fluidly AU,fluidly.com,Collins Street,Melbourne,VIC,3000,High,Melbourne tech company
Paydock,paydock.com,Queen Street,Brisbane,QLD,4000,High,Brisbane tech company
Tractor Ventures,tractorventures.com,Collins Street,Melbourne,VIC,3000,High,Melbourne tech company
Pocketed,pocketed.com.au,George Street,Sydney,NSW,2000,High,Sydney tech company
Behavox AU,behavox.com,George Street,Sydney,NSW,2000,High,Sydney tech company
Taggle Systems,taggle.com.au,King William Street,Adelaide,SA,5000,High,Adelaide tech company
Pnyx,pnyx.com.au,London Circuit,Canberra City,ACT,2601,High,Canberra tech company
Luma Financial Technologies,lumafinancialtech.com,George Street,Sydney,NSW,2000,High,Sydney tech company
Everty,everty.com.au,George Street,Sydney,NSW,2000,High,Sydney tech company
Liminal BioSciences AU,liminalbiosciences.com,Collins Street,Melbourne,VIC,3000,High,Melbourne tech company
Inauro,inauro.com.au,George Street,Sydney,NSW,2000,High,Sydney tech company
Samsara Networks AU,samsara.com,George Street,Sydney,NSW,2000,High,Sydney tech company
Verida,verida.io,Queen Street,Brisbane,QLD,4000,High,Brisbane tech company
Lumi,lumilighting.com.au,Queen Street,Brisbane,QLD,4000,High,Brisbane tech company
Weel,weel.com.au,George Street,Sydney,NSW,2000,High,Sydney tech company
Monash IVF,monashivf.com,Collins Street,Melbourne,VIC,3000,High,Melbourne tech company
Preezie,preezie.com,Collins Street,Melbourne,VIC,3000,High,Melbourne tech company
Steller,steller.com.au,Collins Street,Melbourne,VIC,3000,High,Melbourne tech company
Macquarie Telecom Cloud,macquarietelecom.com,George Street,Sydney,NSW,2000,High,Sydney tech company
NetApp AU,netapp.com,George Street,Sydney,NSW,2000,High,Sydney tech company
Amida Technology,amidatech.com.au,St Georges Terrace,Perth,WA,6000,High,Perth tech company
Aiven AU,aiven.io,George Street,Sydney,NSW,2000,High,Sydney tech company
Finpo,finpo.com.au,George Street,Sydney,NSW,2000,High,Sydney tech company
Pave Finance,pavefinance.com.au,Queen Street,Brisbane,QLD,4000,High,Brisbane tech company
Intergraph AU,intergraph.com.au,St Georges Terrace,Perth,WA,6000,High,Perth tech company
Rezeco,rezeco.com.au,King William Street,Adelaide,SA,5000,High,Adelaide tech company
Conga AU,getconga.com,George Street,Sydney,NSW,2000,High,Sydney tech company
Verto,verto.com.au,Elizabeth Street,Hobart,TAS,7000,High,Hobart tech company
Pozi,pozi.com,Collins Street,Melbourne,VIC,3000,High,Melbourne tech company
CarbonLink,carbonlink.com.au,George Street,Sydney,NSW,2000,High,Sydney tech company
Haventec,haventec.com,George Street,Sydney,NSW,2000,High,Sydney tech company
Joii,joii.com.au,Collins Street,Melbourne,VIC,3000,High,Melbourne tech company
Clevertar,clevertar.com,King William Street,Adelaide,SA,5000,High,Adelaide tech company
Xref,xref.com,George Street,Sydney,NSW,2000,High,Sydney tech company
Mobi Solutions,mobisolutions.com.au,Smith Street,Darwin,NT,0800,High,Darwin tech company
GreenPower Energy,greenpowerenergy.com.au,St Georges Terrace,Perth,WA,6000,High,Perth tech company
Luminary,luminary.com.au,Collins Street,Melbourne,VIC,3000,High,Melbourne tech company
Rezola,rezola.com.au,King William Street,Adelaide,SA,5000,High,Adelaide tech company
SnapSend,snapsend.com.au,Queen Street,Brisbane,QLD,4000,High,Brisbane tech company
Southern Cross Computing,southerncrosscomputing.com.au,Brisbane Street,Launceston,TAS,7250,High,Launceston tech company
Haiku Deck AU,haikudeck.com,George Street,Sydney,NSW,2000,High,Sydney tech company
Zutec AU,zutec.com,George Street,Sydney,NSW,2000,High,Sydney tech company
