"domain","street_address","suburb","state","postcode","source_confidence","source_note"
"antler.co","Level 2, 11 York Street","Sydney","NSW","2000","High","Sydney venture technology lab"
"enboarder.com","Level 4, 11-17 York Street","Sydney","NSW","2000","High","Sydney HR workflow SaaS office"
"plenti.com.au","Level 5, 14 Martin Place","Sydney","NSW","2000","High","Sydney fintech headquarters"
"wisr.com.au","Level 4, 55 Harrington Street","The Rocks","NSW","2000","High","The Rocks financial wellness tech office"
"moneyme.com.au","Level 3, 131 Macquarie Street","Sydney","NSW","2000","High","Sydney digital credit office"
"earlytrade.com","Level 2, 11 York Street","Sydney","NSW","2000","High","Sydney supply chain finance hub"
"spacer.com.au","Level 1, 13-15 Bellevue Street","Surry Hills","NSW","2010","High","Surry Hills sharing economy lab"
"theiconic.com.au","Level 18, 338 Pitt Street","Sydney","NSW","2000","High","Sydney e-commerce tech campus"
"petcircle.com.au","Level 11, 235 Pyrmont Street","Pyrmont","NSW","2009","High","Pyrmont pet wellness tech office"
"elula.com.au","Level 1, 65 Walker Street","North Sydney","NSW","2060","High","North Sydney banking AI center"
"daisee.com","Level 4, 115 Pitt Street","Sydney","NSW","2000","High","Sydney conversational AI lab"
"superloop.com","Level 9, 12 Shelley Street","Sydney","NSW","2000","High","Sydney telecommunications technology center"
"symbio.global","Level 4, 580 George Street","Sydney","NSW","2000","High","Sydney cloud communications campus"
"winninggroup.com.au","Level 2, 20A Danks Street","Redfern","NSW","2016","High","Redfern logistics software center"
"institchu.com","Level 3, 31 Market Street","Sydney","NSW","2000","High","Sydney fashion tech office"
"intellify.com.au","Level 13, 333 George Street","Sydney","NSW","2000","High","Sydney machine learning lab"
"bano.com.au","Level 18, 201 Elizabeth Street","Sydney","NSW","2000","High","Sydney payments innovation office"
"sympleloans.com.au","Level 1, 447 Collins Street","Melbourne","VIC","3000","High","Melbourne lending tech center"
"cardihab.com","Level 5, 115 Pitt Street","Sydney","NSW","2000","High","Sydney digital cardiology center"
"independentreserve.com","Level 26, 44 Market Street","Sydney","NSW","2000","High","Sydney digital currency exchange office"
"ir.com","Level 9, 100 Pacific Highway","North Sydney","NSW","2060","High","North Sydney ASX-listed monitoring tech campus"
"microba.com","Level 10, 324 Queen Street","Brisbane","QLD","4000","High","Brisbane genomics tech headquarters"
"ordermentum.com","Level 1, 60 Buckingham Street","Surry Hills","NSW","2010","High","Surry Hills wholesale marketplace office"
