domain,name,has_location_evidence,reachable,source_url,http_status,recovered
ncs.com.au,NCS Group,false,false,http://ncs.com.au,200,true
netapp.com,NetApp AU,false,false,https://www.netapp.com,403,true
newmanmining.com.au,Newman Mining Telemetry,false,false,,,false
ningaloomarine.com.au,Ningaloo Marine Telemetry,false,false,,,false
noosabiosphere.com.au,Noosa Biosphere Tech,false,false,http://noosabiosphere.com.au,200,true
northambroadacre.com.au,Northam Broadacre Tech,false,false,,,false
northeasttelco.com.au,North East Telco,false,false,,,false
ntfleet.com.au,NT Fleet Telematics,false,false,,,false
nura.com,Nura,false,false,,,false
personifycare.com,Personify Care,false,false,https://personifycare.com/,200,true
pilbaraminingtech.com.au,Pilbara Autonomous Mining,false,false,,,false
portaugustasolar.com.au,Port Augusta Solar Thermal,false,false,,,false
porthedlandmaritime.com.au,Port Hedland Maritime Radar,false,false,,,false
realtimenetworks.com.au,RealTime Networks,false,false,,,false
redlandmarine.com.au,Redland Marine BioSensors,false,false,,,false
rezdy.com,Rezdy,false,false,,,false
rezeco.com.au,Rezeco,false,false,,,false
rezola.com.au,Rezola,false,false,,,false
riverlandirrigation.com.au,Riverland Irrigation IoT,false,false,http://riverlandirrigation.com.au,200,true
rmeglobal.com,Russell Mineral Equipment Tech,false,false,https://www.rmeglobal.com,200,true
robinahealthtech.com.au,Robina Healthtech Solutions,false,false,,,false
romapastoral.com.au,Roma Pastoral Tech,false,false,,,false
roxbydownstech.com.au,Roxby Downs Remote Mining,false,false,,,false
scenegroup.com.au,Scene Group Tech,false,false,,,false
sealite.com.au,Sealite,false,false,,,false
sievertlarsen.com,Sievert Larsen,false,false,,,false
skyfii.com,Skyfii,false,false,,,false
smartcitiesiot.com.au,Smart Cities IoT Australia,false,false,,,false
smartfarmune.com.au,SMART Farm UNE,false,false,,,false
snapsend.com.au,SnapSend,false,false,https://www.snapsendsolve.com/,200,true
sol-secure.com.au,Sol-Secure,false,false,,,false
somnomed.com.au,SomnoMed,false,false,https://somnomed.com/au/,200,true
southerncrosscomputing.com.au,Southern Cross Computing,false,false,,,false
southernriverinaiot.com.au,Southern Riverina IoT,false,false,,,false
southwestagtech.com.au,South West Agtech Bunbury,false,false,,,false
southwestiot.com.au,South West IoT,false,false,,,false
spookfish.com,Spookfish Geospatial,false,false,,,false
sproutx.com.au,SproutX Regional Tech,false,false,http://www.sproutx.com.au/,200,true
stanthorpeappletech.com.au,Stanthorpe Apple Tech,false,false,,,false
starpharma.com,Starpharma,false,false,https://www.starpharma.com,429,true
steller.com.au,Steller,false,false,http://steller.com.au,200,true
subiacocloud.com.au,Subiaco Cloud Technologies,false,false,,,false
subzerorobotics.com.au,Subzero Robotics,false,false,,,false
sunitafe.edu.au,SuniTAFE Smart Farm,false,false,https://www.sunitafe.edu.au,200,true
sunraysiasolar.com.au,Sunraysia Solar Telemetry,false,false,http://sunraysiasolar.com.au/404.html,404,true
thindata.com.au,Thindata,false,false,,,false
tideways.com.au,Tideways,false,false,https://www.tideways.com.au,202,true
tonsleycleanenergy.com.au,Tonsley Clean Energy Tech,false,false,,,false
townsvilleporttech.com.au,Townsville Port Telemetry,false,false,,,false
trace.io,Trace Together AU,false,false,,,false
ubercarshare.com,Uber Carshare,false,false,https://www.uber.com/au/en/u/uber-rent/,406,true
varsitylakescloud.com.au,Varsity Lakes Cloud Lab,false,false,,,false
verida.io,Verida,false,false,,,false
versarien.com,Versarien AU,false,false,,,false
verto.com.au,Verto,false,false,https://vertoconsulting.com.au/,200,true
victorharborsensors.com.au,Victor Harbor Coastal Sensors,false,false,,,false
violetx.com.au,VioletX,false,false,,,false
weipamaritime.com.au,Weipa Maritime Logistics,false,false,,,false
wettropicsbiosensors.com.au,Wet Tropics BioSensors,false,false,,,false
whyallagreensteel.com.au,Whyalla Green Steel Tech,false,false,,,false
xplicit.com.au,Xplicit,false,false,,,false
yarravalleycloud.com.au,Yarra Valley Cloud Systems,false,false,,,false
zeroco.com.au,Zero Co,false,false,https://zeroco.com.au/,404,true
