domain,name,decision,complete_candidate_count,incomplete_candidate_count,candidate_addresses
legalvision.com.au,Legalvision,manual_review_multiple_complete_candidates,3,0,221 St Georges Terrace Perth WA 6000 | 221 St Georges Terrace Perth WA 6000 | 241 Commonwealth Street Surry Hills NSW 2010 | 241 Commonwealth Street Surry Hills NSW 2010 | 71 Eagle Street Brisbane QLD 4000 | 71 Eagle Street Brisbane QLD 4000
moula.com.au,Moula Money,selected_single_complete_candidate,1,0,"535 Bourke Street, Melbourne, VIC 3000"
mountisaminerals.com.au,Mount Isa Mineral Sensors,selected_single_complete_candidate,1,0,339 Coronation Drive Milton QLD 4064 | 339 Coronation Drive Milton QLD 4064
murrayirrigation.com.au,Murray Irrigation Tech,selected_single_complete_candidate,1,0,443 Charlotte Street Deniliquin NSW 2710
opmantek.com,Opmantek Software,selected_single_complete_candidate,1,0,50 Cavill Avenue Surfers Paradise QLD 4217
opthea.com,Opthea,selected_single_complete_candidate,1,0,"117 Camberwell Road, Hawthorn East VIC 3123 | 117 Camberwell Road, Hawthorn East VIC 3123"
outpostcentral.com,Outpost Central,selected_single_complete_candidate,1,0,61 Carrington St Nedlands WA 6009
pepperstone.com,Pepperstone,selected_single_complete_candidate,1,0,"727 Collins Street, Melbourne, VIC 3008 | 727 Collins Street, Melbourne, VIC 3008"
planetinnovation.com.au,Planet Innovation,selected_single_complete_candidate,1,0,436 Elgar Rd Box Hill VIC 3128
rayner.com.au,Rayner,selected_single_complete_candidate,1,0,25 Money Street Perth WA 6000 | 25 Money Street Perth WA 6000
scancam.com.au,Scancam,manual_review_multiple_complete_candidates,2,1,"140 St Georges Terrace, Perth, WA | 3 Spring St, Sydney, NSW 2000 | 570 City Rd, South Melbourne, VIC 3205 | 570 City Rd, South Melbourne, VIC 3205"
seqta.com.au,SEQTA Software,manual_review_multiple_complete_candidates,4,0,135 Coronation Drive Milton QLD 4064 | 2 Luton Lane Hawthorn VIC 3122 | 4/24 Parkland Rd Osborne Park WA 6017 | 97 Kippax Street Surry Hills NSW 2010
splend.com.au,Splend Tech,manual_review_multiple_complete_candidates,4,1,"101 Stirling Highway, Nedlands, WA | 14 Wormald Street, Symonston, ACT 2609 | 29 Croydon Road, Keswick SA 5035 | 35 Brolga Ave, Southport, QLD 4215 | 453 Beaudesert Road, Moorooka, QLD 4105"
sproutx.com.au,SproutX Regional Tech,selected_single_complete_candidate,1,0,"121 King Street Melbourne, VIC 3000 | 121 King Street, Melbourne, VIC 3000"
stax.io,Stax,selected_candidate_matching_existing_locality,4,0,"111 Elizabeth St, Sydney NSW 2000 | 17/125 St Georges Terrace, Perth, WA 6000 | 19/8 Exhibition Street, Melbourne, VIC 3000 | 4/275 George St, Brisbane City, QLD 4000"
stileeducation.com,Stile Education,selected_single_complete_candidate,1,0,"136 Exhibition Street, Melbourne, VIC 3000"
sunitafe.edu.au,SuniTAFE Smart Farm,selected_single_complete_candidate,1,0,"64 Sea Lake-Swan Hill Rd, Swan Hill VIC 3585"
vantage-dc.com,Vantage Data Centres,manual_review_incomplete_candidate_only,0,1,"2101 M Street NE Quincy, WA"
vapar.co,VAPAR,selected_single_complete_candidate,1,0,"11 Grosvenor Street, Neutral Bay NSW AU 2089 | 11 Grosvenor Street, Neutral Bay NSW AU 2089"
versent.com.au,Versent,selected_candidate_matching_existing_locality,4,0,"111 Elizabeth St, Sydney NSW 2000 | 17/125 St Georges Terrace, Perth, WA 6000 | 19/8 Exhibition Street, Melbourne, VIC 3000 | 4/275 George St, Brisbane City, QLD 4000"
verto.com.au,Verto,selected_single_complete_candidate,1,0,8 Welshpool Road East Victoria Park WA 6101
vixtechnology.com,Vix Technology,selected_single_complete_candidate,1,0,550 Bourke Street Melbourne VIC 3000 | 550 Bourke Street Melbourne VIC 3000
xref.com,Xref,selected_single_complete_candidate,1,0,"135 King Street, Sydney NSW 2000 | 135 King Street, Sydney NSW 2000 | 135 King Street, Sydney NSW 2000"
yarno.com.au,Yarno,selected_single_complete_candidate,1,0,"275 Alfred St North Sydney NSW 2060 | 275 Alfred St, North Sydney, NSW 2060 | 275 Alfred St, North Sydney, NSW 2060 | 275 Alfred St, North Sydney, NSW 2060"
