domain,name,current_ambiguous_input,source_url,outcome,candidate_count
athertonagtech.com.au,Atherton Tablelands Agtech,"Main Street, Atherton QLD 4883, Australia",,unreachable,0
austeng.net.au,Austeng Tech,"Tucker Street, Breakwater VIC 3219, Australia",https://austeng.net.au,reachable_no_street_candidate,0
autoguru.com.au,AutoGuru,"Queen Street, Brisbane QLD 4000, Australia",https://www.autoguru.com.au:443/,reachable_no_street_candidate,0
awdigitalhealth.com.au,Albury Wodonga Digital Health,"High Street, Wodonga VIC 3690, Australia",,unreachable,0
azured.com.au,Azured,"Queen Street, Brisbane QLD 4000, Australia",,unreachable,0
baesystems.com,BAE Systems Digital SA,"West Avenue, Edinburgh SA 5111, Australia",https://www.baesystems.com/,reachable_no_street_candidate,0
bairnsdalemarine.com.au,Bairnsdale Marine Sensors,"Main Street, Bairnsdale VIC 3875, Australia",,unreachable,0
ballaratcloud.com.au,Ballarat Cloud Solutions,"Lydiard Street, Ballarat VIC 3350, Australia",,unreachable,0
ballaratsolar.com.au,Ballarat Solar Tech,"Sturt Street, Ballarat VIC 3350, Australia",http://ballaratsolar.com.au,reachable_no_street_candidate,0
ballinacloud.com.au,Ballina Cloud Systems,"River Street, Ballina NSW 2478, Australia",,unreachable,0
barossawinedigital.com.au,Barossa Wine Digital,"Murray Street, Tanunda SA 5352, Australia",,unreachable,0
beamery.com,Beamery,"George Street, Sydney NSW 2000, Australia",https://beamery.com,reachable_no_street_candidate,0
beefledger.io,BeefLedger,"Peel Street, Tamworth NSW 2340, Australia",https://beefledger.io,reachable_no_street_candidate,0
behavox.com,Behavox AU,"George Street, Sydney NSW 2000, Australia",https://behavox.com,reachable_no_street_candidate,0
bellbayhydrogen.com.au,Bell Bay Clean Hydrogen Digital,"Bell Bay Road, Bell Bay TAS 7253, Australia",,unreachable,0
bendigotelco.com.au,Bendigo Telco Tech,"High Street, Bendigo VIC 3550, Australia",https://bendigotelco.com.au,reachable_no_street_candidate,0
bionomics.com.au,Bionomics,"Dalgleish Street, Thebarton SA 5031, Australia",http://www.bionomics.com.au,reachable_no_street_candidate,0
bowenbasin.com.au,Bowen Basin Telematics,"Clermont Street, Emerald QLD 4720, Australia",,unreachable,0
braiins.com,Braiins,"George Street, Sydney NSW 2000, Australia",https://braiins.com,reachable_no_street_candidate,0
broomepearl.com.au,Broome Pearl BioSensors,"Chinatown, Carnarvon Street, Broome WA 6725, Australia",http://broomepearl.com.au,reachable_no_street_candidate,0
buildpass.com.au,Buildpass,"George Street, Sydney NSW 2000, Australia",https://www.buildpass.ai/,reachable_no_street_candidate,0
bundabergbrewtech.com.au,Bundaberg Brew Tech,"Bargara Road, Bundaberg QLD 4670, Australia",,unreachable,0
burniecomposites.com.au,Burnie Advanced Composites,"Mount Street, Burnie TAS 7320, Australia",,unreachable,0
busseltonviti.com.au,Busselton Viticulture Sensors,"Queen Street, Busselton WA 6280, Australia",,unreachable,0
cabooltureagsystems.com.au,Caboolture Ag Systems,"King Street, Caboolture QLD 4510, Australia",,unreachable,0
canstar.com.au,Canstar,"Queen Street, Brisbane QLD 4000, Australia",https://www.canstar.com.au/,reachable_no_street_candidate,0
caradvice.com.au,Caradvice,"Collins Street, Melbourne VIC 3000, Australia",https://www.drive.com.au/,reachable_no_street_candidate,0
carbonlink.com.au,CarbonLink,"George Street, Sydney NSW 2000, Australia",https://carbonlink.com.au,reachable_no_street_candidate,0
castlemaineengineering.com.au,Castlemaine Engineering Tech,"Barker Street, Castlemaine VIC 3450, Australia",,unreachable,0
cea.com.au,CEA Technologies,"Gladstone Street, Fyshwick ACT 2609, Australia",https://www.cea.com.au/,reachable_no_street_candidate,0
cedunasatellite.com.au,Ceduna Satellite Earth Station,"Eyre Highway, Ceduna SA 5690, Australia",,unreachable,0
centralvicsolar.com.au,Central Victorian Solar IoT,"Pall Mall, Bendigo VIC 3550, Australia",https://centralvicsolar.com.au,reachable_no_street_candidate,0
centralwestsolar.com.au,Central West Solar IoT,"William Street, Bathurst NSW 2795, Australia",,unreachable,0
chinchillagas.com.au,Chinchilla Gas Telemetry,"Heeney Street, Chinchilla QLD 4413, Australia",,unreachable,0
cityzen.com.au,Cityzen Tech,"Bundall Road, Bundall QLD 4217, Australia",https://cityzen.com.au,reachable_no_street_candidate,0
civx.com.au,CivX,"King William Street, Adelaide SA 5000, Australia",https://civxinfra.com.au/,reachable_no_street_candidate,0
clarevalleytech.com.au,Clare Valley Viticulture Tech,"Main North Road, Clare SA 5453, Australia",,unreachable,0
clevertar.com,Clevertar,"King William Street, Adelaide SA 5000, Australia",https://www.clevertar.com/,reachable_no_street_candidate,0
clinuvel.com,Clinuvel Pharmaceuticals,"Swanston Street, Melbourne VIC 3000, Australia",https://www.clinuvel.com/,reachable_no_street_candidate,0
coastr.com,Coastr Technology,"Marine Parade, Southport QLD 4215, Australia",https://www.coastr.com/,reachable_no_street_candidate,0
cogbi.com.au,CogBI Analytics,"North Terrace, Adelaide SA 5000, Australia",,unreachable,0
cogent.co,Cogent,"Swan Street, Richmond VIC 3121, Australia",,unreachable,0
cogitogroup.com.au,Cogito Group,"London Circuit, Canberra City ACT 2601, Australia",https://cogitogroup.com.au,reachable_no_street_candidate,0
compumedics.com.au,Compumedics,"Victoria Street, Abbotsford VIC 3067, Australia",https://www.compumedics.com.au/en/,reachable_no_street_candidate,0
copperstringdigital.com.au,CopperString Digital,"Flinders Street, Townsville QLD 4810, Australia",,unreachable,0
corelogic.com.au,CoreLogic AU,"George Street, Sydney NSW 2000, Australia",https://www.cotality.com/,reachable_no_street_candidate,0
coupa.com,Coupa Software AU,"George Street, Sydney NSW 2000, Australia",https://www.coupa.com/,reachable_no_street_candidate,0
creditorwatch.com.au,Creditor Watch,"George Street, Sydney NSW 2000, Australia",https://creditorwatch.com.au,reachable_no_street_candidate,0
csl.com,CSL Limited,"Poplar Road, Parkville VIC 3052, Australia",https://csl.com,reachable_no_street_candidate,0
curationcorp.com,Curation Corp,"George Street, Sydney NSW 2000, Australia",https://ai.curationcorp.com/,reachable_no_street_candidate,0
cvcheck.com,CVCheck Tech,"Hasler Road, Osborne Park WA 6017, Australia",https://cvcheck.com,reachable_no_street_candidate,0
cyban.com.au,Cyban,"St Georges Terrace, Perth WA 6000, Australia",http://wavewise.com/,reachable_no_street_candidate,0
cyclopharm.com.au,Cyclopharm,"Commercial Road, Kingsgrove NSW 2208, Australia",https://www.cyclomedica.com/,reachable_no_street_candidate,0
dandenongrobotics.com.au,Dandenong Robotics Centre,"Cheltenham Road, Dandenong VIC 3175, Australia",,unreachable,0
datamesh.com.au,DataMesh,"Collins Street, Melbourne VIC 3000, Australia",http://datamesh.com.au,reachable_no_street_candidate,0
datanzo.com.au,Datanzo,"George Street, Sydney NSW 2000, Australia",,unreachable,0
deakinmarinetech.com.au,Deakin Marine Tech Warrnambool,"Princes Highway, Warrnambool VIC 3280, Australia",,unreachable,0
devonportagtech.com.au,Devonport Agricultural Automation,"Rooke Street, Devonport TAS 7310, Australia",,unreachable,0
dextro.com.au,Dextro,"Collins Street, Melbourne VIC 3000, Australia",https://dextro.com.au/landing,reachable_no_street_candidate,0
divipay.com.au,Divipay,"George Street, Sydney NSW 2000, Australia",https://letsweel.com/,reachable_no_street_candidate,0
dremio.com,Dremio (Australia Hub),"North Terrace, Adelaide SA 5000, Australia",https://www.dremio.com/,reachable_no_street_candidate,0
eaglehawksoftware.com.au,Eaglehawk Software,"Victoria Street, Eaglehawk VIC 3556, Australia",,unreachable,0
easygo.gg,Easygo Gaming,"Collins Street, Melbourne VIC 3000, Australia",,unreachable,0
endua.com,Endua,"Kerry Road, Archerfield QLD 4108, Australia",https://www.endua.com/,reachable_no_street_candidate,0
entegy.com.au,Entegy,"Collins Street, Melbourne VIC 3000, Australia",https://entegy.events/,reachable_no_street_candidate,0
envirofibre.com.au,ENVIROFIBRE Tech,"Enterprise Street, Kunda Park QLD 4556, Australia",,unreachable,0
esperancegrain.com.au,Esperance Grain Logistics,"Dempster Street, Esperance WA 6450, Australia",,unreachable,0
euclideon.com,Euclideon,"Queen Street, Brisbane QLD 4000, Australia",https://www.euclideon.com/,reachable_no_street_candidate,0
faethm.ai,Faethm AI,"George Street, Sydney NSW 2000, Australia",https://www.faethm.ai/,reachable_no_street_candidate,0
familyzone.com,Family Zone Tech,"Kings Park Road, West Perth WA 6005, Australia",https://www.qustodio.com:443/en/familyzone/,reachable_no_street_candidate,0
farnorthtelemetry.com.au,Far North Telemetry,"Grafton Street, Cairns QLD 4870, Australia",,unreachable,0
fedunitechpark.com.au,Federation Tech Park,"University Drive, Mount Helen VIC 3350, Australia",,unreachable,0
ferocia.com.au,Ferocia,"Collins Street, Melbourne VIC 3000, Australia",https://ferocia.com.au,reachable_no_street_candidate,0
ferronova.com.au,Ferronova,"King William Street, Adelaide SA 5000, Australia",https://www.ferronova.com.au/,reachable_no_street_candidate,0
fincast.io,Fincast,"George Street, Sydney NSW 2000, Australia",,unreachable,0
finpo.com.au,Finpo,"George Street, Sydney NSW 2000, Australia",,unreachable,0
fletch.ai,Fletch AI,"Collins Street, Melbourne VIC 3000, Australia",https://www.f5.com/company/blog/how-agentic-ai-simplifies-cybersecurity-and-modern-threat-management,reachable_no_street_candidate,0
fluidly.com,Fluidly AU,"Collins Street, Melbourne VIC 3000, Australia",https://oaknorth.co.uk/partnerships/,reachable_no_street_candidate,0
fologram.com,Fologram,"Flinders Street, Melbourne VIC 3000, Australia",https://fologram.com,reachable_no_street_candidate,0
forestryse.com.au,Forestry South East Telemetry,"Commercial Street, Mount Gambier SA 5290, Australia",,unreachable,0
frankstonhealthtech.com.au,Frankston Healthtech Lab,"Nepean Highway, Frankston VIC 3199, Australia",,unreachable,0
fremantlesubsea.com.au,Fremantle Subsea Robotics,"Cliff Street, Fremantle WA 6160, Australia",,unreachable,0
gcroboticshub.com.au,Gold Coast Robotics Hub,"Nerang Street, Southport QLD 4215, Australia",,unreachable,0
geelongaerospace.com.au,Geelong Aerospace Sensors,"Station Street, North Shore VIC 3214, Australia",,unreachable,0
geographe.com.au,Geographe,"Queen Street, Busselton WA 6280, Australia",https://geographe.com.au,address_candidates_found,2
geolyse.com,Geolyse Tech,"Kite Street, Orange NSW 2800, Australia",,unreachable,0
geraldtonwind.com.au,Geraldton Wind Robotics,"Marine Terrace, Geraldton WA 6530, Australia",,unreachable,0
getconga.com,Conga AU,"George Street, Sydney NSW 2000, Australia",,unreachable,0
gippswater.com.au,Gippsland Water Digital,"Hazelwood Road, Traralgon VIC 3844, Australia",https://www.gippswater.com.au/,reachable_no_street_candidate,0
givengineering.com,GivEngineering,"Argyle Street, Fitzroy VIC 3065, Australia",https://givengineering.com,reachable_no_street_candidate,0
gladstonehydrogen.com.au,Gladstone Hydrogen Telemetry,"Goondoon Street, Gladstone QLD 4680, Australia",,unreachable,0
goanna.ag,Goanna Ag,"Margaret Street, Toowoomba QLD 4350, Australia",http://goanna.ag,reachable_no_street_candidate,0
goodpairdays.com,Good Pair Days,"Dunning Avenue, Rosebery NSW 2018, Australia",https://www.goodpairdays.com/au/,reachable_no_street_candidate,0
goulburnglass.com.au,Goulburn River Glass Tech,"Emily Street, Seymour VIC 3660, Australia",,unreachable,0
greatwrap.co,Great Wrap,"Tullamarine, Tullamarine VIC 3043, Australia",https://greatwrap.co,reachable_no_street_candidate,0
greenpowerenergy.com.au,GreenPower Energy,"St Georges Terrace, Perth WA 6000, Australia",,unreachable,0
gretel.ai,Gretel.ai,"George Street, Sydney NSW 2000, Australia",https://www.nvidia.com/en-us/use-cases/synthetic-data-generation-for-agentic-ai/,reachable_no_street_candidate,0
greyinnovation.com,Grey Innovation,"Cremorne Street, Cremorne VIC 3121, Australia",https://www.greyinnovation.com/,reachable_no_street_candidate,0
groundbreaker.co,Groundbreaker,"Queen Street, Brisbane QLD 4000, Australia",https://connect.janover.co/,reachable_no_street_candidate,0
gvtelemetry.com.au,Goulburn Valley Telemetry,"Wyndham Street, Shepparton VIC 3630, Australia",,unreachable,0
gympietimbertech.com.au,Gympie Timber Tech,"Mary Street, Gympie QLD 4570, Australia",,unreachable,0
haikudeck.com,Haiku Deck AU,"George Street, Sydney NSW 2000, Australia",https://haikudeck.com,reachable_no_street_candidate,0
halaxy.com,Halaxy,"Collins Street, Melbourne VIC 3000, Australia",https://www.halaxy.com:443/,reachable_no_street_candidate,0
harvestroad.com.au,Harvest Road,"High Street, Fremantle WA 6160, Australia",,unreachable,0
hatch.team,Hatch,"Collins Street, Melbourne VIC 3000, Australia",https://hatch.team,reachable_no_street_candidate,0
hendersondefence.com.au,Henderson Marine Defence,"Cockburn Road, Henderson WA 6166, Australia",,unreachable,0
herveybaymarine.com.au,Hervey Bay Marine Electronics,"Boat Harbour Drive, Urangan QLD 4655, Australia",,unreachable,0
hiveuav.com,HiveUAV,"Hunter Street, Newcastle NSW 2300, Australia",https://www.hugedomains.com/domain_profile.cfm?d=hiveuav.com,reachable_no_street_candidate,0
honeyflow.com.au,Flow Hive Tech,"Centennial Circuit, Byron Bay NSW 2481, Australia",https://www.honeyflow.com.au/,reachable_no_street_candidate,0
humanitix.com,Humanitix,"George Street, Sydney NSW 2000, Australia",https://humanitix.com/au,reachable_no_street_candidate,0
hunterhydrogentech.com.au,Hunter Hydrogen Tech,"Wharf Road, Newcastle NSW 2300, Australia",,unreachable,0
hydrix.com,Hydrix Group,"Springvale Road, Mulgrave VIC 3170, Australia",https://hydrix.com,reachable_no_street_candidate,0
hydronautics.com.au,Hydronautics,"High Street, Fremantle WA 6160, Australia",,unreachable,0
hylo.com,Hylo,"Collins Street, Melbourne VIC 3000, Australia",https://www.hylo.com/,reachable_no_street_candidate,0
hyperanna.com,Hyper Anna,"George Street, Sydney NSW 2000, Australia",https://www.alteryx.com/,reachable_no_street_candidate,0
hyperdigital.com.au,Hyper Digital,"St Georges Terrace, Perth WA 6000, Australia",,unreachable,0
hypersensesoftware.com.au,Hypersense Software,"Scott Street, Newcastle NSW 2300, Australia",,unreachable,0
hypertune.com,Hypertune,"George Street, Sydney NSW 2000, Australia",https://www.hypertune.com/,reachable_no_street_candidate,0
infotrack.com.au,InfoTrack,"George Street, Sydney NSW 2000, Australia",https://www.infotrack.com.au/,reachable_no_street_candidate,0
inovor.com.au,Inovor Technologies,"North Terrace, Adelaide SA 5000, Australia",https://www.inovor.com.au/,reachable_no_street_candidate,0
instantscripts.com.au,InstantScripts,"Collins Street, Melbourne VIC 3000, Australia",https://www.instantscripts.com.au/,reachable_no_street_candidate,0
intelledox.com,Intelledox,"London Circuit, Canberra City ACT 2601, Australia",https://www.smartcommunications.com/,reachable_no_street_candidate,0
intellicheck.com.au,Intellicheck,"Collins Street, Melbourne VIC 3000, Australia",,unreachable,0
intellihr.com,IntelliHR,"Queen Street, Brisbane QLD 4000, Australia",,unreachable,0
intergraph.com.au,Intergraph AU,"St Georges Terrace, Perth WA 6000, Australia",http://intergraph.com.au,reachable_no_street_candidate,0
intersective.com,Intersective,"George Street, Sydney NSW 2000, Australia",https://practera.com/,reachable_no_street_candidate,0
intopia.digital,Intopia,"George Street, Sydney NSW 2000, Australia",https://intopia.digital,reachable_no_street_candidate,0
invetechgroup.com,Invetech Group,"Ricketts Road, Mount Waverley VIC 3149, Australia",https://www.invetechgroup.com/,reachable_no_street_candidate,0
ipswichdefenserobotics.com.au,Ipswich Defense Robotics,"Brisbane Street, Ipswich QLD 4305, Australia",,unreachable,0
jaxsta.com,Jaxsta,"George Street, Sydney NSW 2000, Australia",https://jaxsta.com,reachable_no_street_candidate,0
jcumaredeptech.com.au,JCU Marine Deeptech,"Angus Smith Drive, Douglas QLD 4814, Australia",,unreachable,0
joii.com.au,Joii,"Collins Street, Melbourne VIC 3000, Australia",,unreachable,0
joondalupcyber.com.au,Joondalup Cyber Academy Tech,"Kendrew Crescent, Joondalup WA 6027, Australia",,unreachable,0
joust.com.au,Joust,"King William Street, Adelaide SA 5000, Australia",,unreachable,0
kalgoorliemining.com.au,Kalgoorlie Mine Automation,"Hannan Street, Kalgoorlie WA 6430, Australia",http://kalgoorliemining.com.au,reachable_no_street_candidate,0
kinexus.com.au,Kinexus,"George Street, Sydney NSW 2000, Australia",https://www.kinexus.com.au/,reachable_no_street_candidate,0
kiralearning.com,Kira Learning,"George Street, Sydney NSW 2000, Australia",,unreachable,0
klayo.com,Klayo,"Queen Street, Brisbane QLD 4000, Australia",https://klayo.com,reachable_no_street_candidate,0
koala.com,Koala Tech,"Bourke Road, Alexandria NSW 2015, Australia",https://au.koala.com/,reachable_no_street_candidate,0
koba.com.au,Koba Insurance,"Chapel Street, South Yarra VIC 3141, Australia",http://instantfwding.com/?dn=koba.com.au&pid=7PO2UM885,reachable_no_street_candidate,0
kurrajong.com.au,Kurrajong Tech,"Chaston Street, Wagga Wagga NSW 2650, Australia",https://www.kurrajong.com.au/,address_candidates_found,7
kwinanadigitaltwin.com.au,Kwinana Industrial Digital Twin,"Mason Road, Kwinana Beach WA 6167, Australia",,unreachable,0
laingorourke.com,Laing O Rourke Digital,"George Street, Sydney NSW 2000, Australia",https://www.laingorourke.com/,reachable_no_street_candidate,0
legalvision.com.au,Legalvision,"George Street, Sydney NSW 2000, Australia",https://legalvision.com.au,address_candidates_found,12
limeade.com,Limeade AU,"George Street, Sydney NSW 2000, Australia",https://limeade.com,reachable_no_street_candidate,0
liminalbiosciences.com,Liminal BioSciences AU,"Collins Street, Melbourne VIC 3000, Australia",https://liminalbiosciences.com,reachable_no_street_candidate,0
livestockwatersolutions.com.au,Livestock Water Solutions,"Frome Street, Moree NSW 2400, Australia",,unreachable,0
livetiles.nyc,LiveTiles,"George Street, Sydney NSW 2000, Australia",,unreachable,0
locqus.com,Locqus,"Collins Street, Melbourne VIC 3000, Australia",https://locqus.com,reachable_no_street_candidate,0
logancleantech.com.au,Logan Cleantech Energy,"Wembley Road, Logan Central QLD 4114, Australia",,unreachable,0
longbowadvantage.com,Longbow Advantage,"Queen Street, Brisbane QLD 4000, Australia",https://www.longbowadvantage.com/,reachable_no_street_candidate,0
lumafinancialtech.com,Luma Financial Technologies,"George Street, Sydney NSW 2000, Australia",,unreachable,0
lumilighting.com.au,Lumi,"Queen Street, Brisbane QLD 4000, Australia",,unreachable,0
luminary.com.au,Luminary,"Collins Street, Melbourne VIC 3000, Australia",,unreachable,0
mackayminingtech.com.au,Mackay Autonomous Mining,"Sydney Street, Mackay QLD 4740, Australia",,unreachable,0
macquarietelecom.com,Macquarie Telecom Cloud,"George Street, Sydney NSW 2000, Australia",https://www.macquarietelecom.com/,reachable_no_street_candidate,0
mandurahenviro.com.au,Mandurah Environmental IoT,"Mandurah Terrace, Mandurah WA 6210, Australia",,unreachable,0
marketplacer.com,Marketplacer,"Collins Street, Melbourne VIC 3000, Australia",https://marketplacer.com,reachable_no_street_candidate,0
maroochydoresmartcity.com.au,Maroochydore Smart City IoT,"First Avenue, Maroochydore QLD 4558, Australia",,unreachable,0
maryboroughrail.com.au,Maryborough Rail Robotics,"Bazaar Street, Maryborough QLD 4650, Australia",,unreachable,0
maynepharma.com,Mayne Pharma Tech,"Main North Road, Salisbury SA 5108, Australia",https://maynepharma.com,reachable_no_street_candidate,0
me3d.com.au,Me3D,"Squires Way, North Wollongong NSW 2500, Australia",http://me3d.com.au,reachable_no_street_candidate,0
mealpal.com.au,Mealpal,"Collins Street, Melbourne VIC 3000, Australia",https://mealpal.com/au/,reachable_no_street_candidate,0
mesoblast.com,Mesoblast,"Collins Street, Melbourne VIC 3000, Australia",https://mesoblast.com,reachable_no_street_candidate,0
midfield.com.au,Midfield Automation,"Scott Street, Warrnambool VIC 3280, Australia",https://midfield.com.au,reachable_no_street_candidate,0
midlandrail.com.au,Midland Rail Automation,"Railway Road, Midland WA 6056, Australia",,unreachable,0
mildurafruittech.com.au,Mildura Fruit Tech,"Eighth Street, Mildura VIC 3500, Australia",,unreachable,0
mobisolutions.com.au,Mobi Solutions,"Smith Street, Darwin NT 0800, Australia",https://www.mobisolutions.com.au/,reachable_no_street_candidate,0
monash.edu,Monash MedTech,"Wellington Road, Clayton VIC 3800, Australia",https://monash.edu,reachable_no_street_candidate,0
monashivf.com,Monash IVF,"Collins Street, Melbourne VIC 3000, Australia",https://monashivf.com,reachable_no_street_candidate,0
montu.com.au,Montu,"Collins Street, Melbourne VIC 3000, Australia",https://www.montu.com.au/,reachable_no_street_candidate,0
mosh.com.au,Mosh,"George Street, Sydney NSW 2000, Australia",https://mosh.com.au,reachable_no_street_candidate,0
mpcleantech.com.au,Mornington Peninsula Cleantech,"Barkly Street, Mornington VIC 3931, Australia",,unreachable,0
mynd.ai,Mynd.ai,"George Street, Sydney NSW 2000, Australia",https://www.mynd.ai/,reachable_no_street_candidate,0
myriota.com,Myriota,"North Terrace, Adelaide SA 5000, Australia",https://myriota.com,reachable_no_street_candidate,0
ncs.com.au,NCS Group,"George Street, Sydney NSW 2000, Australia",http://ncs.com.au,reachable_no_street_candidate,0
neighbourlytics.com,Neighbourlytics,"Collins Street, Melbourne VIC 3000, Australia",https://www.neighbourlytics.com/,reachable_no_street_candidate,0
netapp.com,NetApp AU,"George Street, Sydney NSW 2000, Australia",https://www.netapp.com/,reachable_no_street_candidate,0
neumannspace.com,Neumann Space,"Frome Road, Adelaide SA 5000, Australia",https://neumannspace.com,reachable_no_street_candidate,0
newmanmining.com.au,Newman Mining Telemetry,"Iron Ore Parade, Newman WA 6753, Australia",,unreachable,0
nexgen.net.au,Nexgen,"Flinders Street, Townsville QLD 4810, Australia",https://nexgen.net.au,reachable_no_street_candidate,0
ningaloomarine.com.au,Ningaloo Marine Telemetry,"Murat Road, Exmouth WA 6707, Australia",,unreachable,0
noeticgroup.com,Noetic Group Tech,"National Circuit, Barton ACT 2600, Australia",https://atturra.com/au-en/solutions/advisory-consulting/,reachable_no_street_candidate,0
noosabiosphere.com.au,Noosa Biosphere Tech,"Thomas Street, Noosaville QLD 4566, Australia",http://noosabiosphere.com.au,reachable_no_street_candidate,0
northambroadacre.com.au,Northam Broadacre Tech,"Fitzgerald Street, Northam WA 6401, Australia",,unreachable,0
northeasttelco.com.au,North East Telco,"Faithfull Street, Wangaratta VIC 3677, Australia",,unreachable,0
notiv.com,Notiv,"George Street, Sydney NSW 2000, Australia",https://notiv.com,reachable_no_street_candidate,0
ntfleet.com.au,NT Fleet Telematics,"Stuart Highway, Winnellie NT 0820, Australia",,unreachable,0
nura.com,Nura,"Collins Street, Melbourne VIC 3000, Australia",,unreachable,0
octaneai.com,Octane AI,"George Street, Sydney NSW 2000, Australia",https://octaneai.com,reachable_no_street_candidate,0
octet.com.au,Octet,"George Street, Sydney NSW 2000, Australia",https://www.octet.com/,reachable_no_street_candidate,0
openpay.com.au,Openpay Tech,"St Kilda Road, Melbourne VIC 3004, Australia",https://pay.com.au/,reachable_no_street_candidate,0
pairtree.com.au,Pairtree,"George Street, Sydney NSW 2000, Australia",https://pairtree.com.au,reachable_no_street_candidate,0
partly.com,Partly,"George Street, Sydney NSW 2000, Australia",https://www.partly.com/,reachable_no_street_candidate,0
pathzero.com,Pathzero,"George Street, Sydney NSW 2000, Australia",https://pathzero.com,reachable_no_street_candidate,0
pavefinance.com.au,Pave Finance,"Queen Street, Brisbane QLD 4000, Australia",https://pavefinance.com.au,reachable_no_street_candidate,0
paxon.com.au,Paxon Group,"Queen Street, Brisbane QLD 4000, Australia",https://paxon.com.au,reachable_no_street_candidate,0
paydock.com,Paydock,"Queen Street, Brisbane QLD 4000, Australia",https://paydock.com,reachable_no_street_candidate,0
personifycare.com,Personify Care,"North Terrace, Adelaide SA 5000, Australia",https://personifycare.com,reachable_no_street_candidate,0
pilbaraminingtech.com.au,Pilbara Autonomous Mining,"Sharpe Avenue, Karratha WA 6714, Australia",,unreachable,0
pocketed.com.au,Pocketed,"George Street, Sydney NSW 2000, Australia",https://pocketed.com.au,reachable_no_street_candidate,0
pointerra.com,Pointerra,"Adelaide Terrace, East Perth WA 6004, Australia",https://www.pointerra.com/,reachable_no_street_candidate,0
polynovo.com,Polynovo,"Plummer Street, Port Melbourne VIC 3207, Australia",https://polynovo.com,reachable_no_street_candidate,0
portaugustasolar.com.au,Port Augusta Solar Thermal,"Highway One, Port Augusta SA 5700, Australia",,unreachable,0
porthedlandmaritime.com.au,Port Hedland Maritime Radar,"The Esplanade, Port Hedland WA 6721, Australia",,unreachable,0
portlincolnmarine.com.au,Port Lincoln Marine Tech,"Tasman Terrace, Port Lincoln SA 5606, Australia",https://www.portlincolnmarine.com.au/,reachable_no_street_candidate,0
pozi.com,Pozi,"Collins Street, Melbourne VIC 3000, Australia",https://pozi.com,reachable_no_street_candidate,0
precisionagriculture.com.au,Precision Agriculture Australia,"Peisley Street, Orange NSW 2800, Australia",https://precisionagriculture.com.au,reachable_no_street_candidate,0
preezie.com,Preezie,"Collins Street, Melbourne VIC 3000, Australia",https://preezie.com,reachable_no_street_candidate,0
prezzee.com,Prezzee,"George Street, Sydney NSW 2000, Australia",https://prezzee.com/en-us,reachable_no_street_candidate,0
procreate.com,Savage Interactive,"Elizabeth Street, North Hobart TAS 7000, Australia",https://procreate.com,reachable_no_street_candidate,0
procurious.com,Procurious,"Collins Street, Melbourne VIC 3000, Australia",https://www.procurious.com/,reachable_no_street_candidate,0
promedicus.com.au,Pro Medicus,"Swan Street, Richmond VIC 3121, Australia",https://www.promed.com.au/,address_candidates_found,1
pronavigator.ai,ProNavigator,"George Street, Sydney NSW 2000, Australia",https://www.guidewire.com:443/products/technology/insurance-ai-from-guidewire/pronavigator,reachable_no_street_candidate,0
proqual.com.au,Proqual,"Queen Street, Brisbane QLD 4000, Australia",https://proqual.com.au,reachable_no_street_candidate,0
