domain,name,has_location_evidence,reachable,source_url
coupa.com,Coupa Software AU,false,false,
creditorwatch.com.au,Creditor Watch,false,true,https://creditorwatch.com.au
csl.com,CSL Limited,false,false,
curationcorp.com,Curation Corp,false,true,https://ai.curationcorp.com/
cvcheck.com,CVCheck Tech,false,true,https://cvcheck.com
cyban.com.au,Cyban,false,false,
cyclopharm.com.au,Cyclopharm,false,true,https://www.cyclomedica.com/
dandenongrobotics.com.au,Dandenong Robotics Centre,false,false,
datamesh.com.au,DataMesh,false,false,
datanzo.com.au,Datanzo,false,false,
deakinmarinetech.com.au,Deakin Marine Tech Warrnambool,false,false,
devonportagtech.com.au,Devonport Agricultural Automation,false,false,
dextro.com.au,Dextro,false,false,
dimerix.com,Dimerix,false,true,https://dimerix.com
divipay.com.au,Divipay,false,true,https://letsweel.com/
dremio.com,Dremio (Australia Hub),false,true,https://www.dremio.com/
dspace.com,Dspace Australia,false,true,https://www.dspace.com/en/pub/home.cfm
eaglehawksoftware.com.au,Eaglehawk Software,false,false,
easygo.gg,Easygo Gaming,false,false,
employmentinnovations.com,Employment Innovations,false,true,https://employmentinnovations.com
endua.com,Endua,false,true,https://www.endua.com/
entegy.com.au,Entegy,false,true,https://entegy.events/
envirofibre.com.au,ENVIROFIBRE Tech,false,false,
esperancegrain.com.au,Esperance Grain Logistics,false,false,
euclideon.com,Euclideon,false,true,https://www.euclideon.com/
faethm.ai,Faethm AI,false,true,https://www.faethm.ai/
familyzone.com,Family Zone Tech,false,true,https://www.qustodio.com:443/en/familyzone/
farnorthtelemetry.com.au,Far North Telemetry,false,false,
fedunitechpark.com.au,Federation Tech Park,false,false,
ferocia.com.au,Ferocia,false,true,https://ferocia.com.au
ferronova.com.au,Ferronova,false,true,https://www.ferronova.com.au/
fincast.io,Fincast,false,false,
finpo.com.au,Finpo,false,false,
fletch.ai,Fletch AI,false,true,https://www.f5.com/company/blog/how-agentic-ai-simplifies-cybersecurity-and-modern-threat-management
flexigroup.com.au,FlexiGroup,false,false,
fluidly.com,Fluidly AU,false,true,https://oaknorth.co.uk/partnerships/
fologram.com,Fologram,false,true,https://fologram.com
forestryse.com.au,Forestry South East Telemetry,false,false,
forter.com,Forter Australia,false,true,https://www.forter.com/
frankstonhealthtech.com.au,Frankston Healthtech Lab,false,false,
fremantlesubsea.com.au,Fremantle Subsea Robotics,false,false,
gcroboticshub.com.au,Gold Coast Robotics Hub,false,false,
geelongaerospace.com.au,Geelong Aerospace Sensors,false,false,
geneticsignatures.com,Genetic Signatures,false,true,https://geneticsignatures.com/au/
geographe.com.au,Geographe,false,true,https://geographe.com.au
geolyse.com,Geolyse Tech,false,false,
geraldtonwind.com.au,Geraldton Wind Robotics,false,false,
getconga.com,Conga AU,false,false,
gigacomm.net.au,GigaComm,false,true,https://www.gigacomm.net.au/
gippswater.com.au,Gippsland Water Digital,false,true,https://www.gippswater.com.au/
givengineering.com,GivEngineering,false,true,https://givengineering.com
gladstonehydrogen.com.au,Gladstone Hydrogen Telemetry,false,false,
goanna.ag,Goanna Ag,false,false,
goodpairdays.com,Good Pair Days,false,true,https://www.goodpairdays.com/au/
goulburnglass.com.au,Goulburn River Glass Tech,false,false,
greatwrap.co,Great Wrap,false,true,https://greatwrap.co
greenpowerenergy.com.au,GreenPower Energy,false,false,
gretel.ai,Gretel.ai,false,true,https://www.nvidia.com/en-us/use-cases/synthetic-data-generation-for-agentic-ai/
greyinnovation.com,Grey Innovation,false,true,https://www.greyinnovation.com/
groundbreaker.co,Groundbreaker,false,true,https://connect.janover.co/
gvtelemetry.com.au,Goulburn Valley Telemetry,false,false,
gympietimbertech.com.au,Gympie Timber Tech,false,false,
haikudeck.com,Haiku Deck AU,false,true,https://haikudeck.com
halaxy.com,Halaxy,false,true,https://www.halaxy.com:443/
harvestroad.com.au,Harvest Road,false,false,
hatch.team,Hatch,false,true,https://hatch.team
hendersondefence.com.au,Henderson Marine Defence,false,false,
herveybaymarine.com.au,Hervey Bay Marine Electronics,false,false,
hiveuav.com,HiveUAV,false,false,
honeyflow.com.au,Flow Hive Tech,false,true,https://www.honeyflow.com.au/
humanitix.com,Humanitix,false,true,https://humanitix.com/au
hunterhydrogentech.com.au,Hunter Hydrogen Tech,false,false,
hydrix.com,Hydrix Group,false,true,https://hydrix.com
hydronautics.com.au,Hydronautics,false,false,
hylo.com,Hylo,false,true,https://www.hylo.com/
hyperanna.com,Hyper Anna,false,true,https://www.alteryx.com/
hyperdigital.com.au,Hyper Digital,false,false,
hypersensesoftware.com.au,Hypersense Software,false,false,
hypertune.com,Hypertune,false,true,https://www.hypertune.com/
imgmaterials.com,Imagine Intelligent Materials,false,false,
inauro.com.au,Inauro,false,true,https://www.inauro.com.au/
infotrack.com.au,InfoTrack,false,true,https://www.infotrack.com.au/
inovor.com.au,Inovor Technologies,false,true,https://www.inovor.com.au/
instantscripts.com.au,InstantScripts,false,true,https://www.instantscripts.com.au/
intelledox.com,Intelledox,false,true,https://www.smartcommunications.com/
intellicheck.com.au,Intellicheck,false,false,
intellihr.com,IntelliHR,false,false,
intergraph.com.au,Intergraph AU,false,false,
intersective.com,Intersective,false,true,https://practera.com/
intopia.digital,Intopia,false,true,https://intopia.digital
invetechgroup.com,Invetech Group,false,true,https://www.invetechgroup.com/
ipswichdefenserobotics.com.au,Ipswich Defense Robotics,false,false,
jaxsta.com,Jaxsta,false,true,https://jaxsta.com
jcumaredeptech.com.au,JCU Marine Deeptech,false,false,
jemena.com.au,Jemena,false,true,https://www.jemena.com.au/
joii.com.au,Joii,false,false,
joondalupcyber.com.au,Joondalup Cyber Academy Tech,false,false,
joust.com.au,Joust,false,false,
kablamo.com.au,Kablamo,false,true,https://www.kablamo.com.au/
kalgoorliemining.com.au,Kalgoorlie Mine Automation,false,false,
kinexus.com.au,Kinexus,false,true,https://www.kinexus.com.au/
kiralearning.com,Kira Learning,false,false,
klayo.com,Klayo,false,true,https://klayo.com
koala.com,Koala Tech,false,true,https://au.koala.com/
koba.com.au,Koba Insurance,false,true,http://instantfwding.com/?dn=koba.com.au&pid=7PO2UM885
kurrajong.com.au,Kurrajong Tech,false,true,https://www.kurrajong.com.au/
kwinanadigitaltwin.com.au,Kwinana Industrial Digital Twin,false,false,
laingorourke.com,Laing O Rourke Digital,false,true,https://www.laingorourke.com/
latrobevalleynetwork.com.au,Latrobe Valley Engineering Tech,false,false,
legalvision.com.au,Legalvision,false,true,https://legalvision.com.au
limeade.com,Limeade AU,false,true,https://limeade.com
liminalbiosciences.com,Liminal BioSciences AU,false,true,https://liminalbiosciences.com
livestockwatersolutions.com.au,Livestock Water Solutions,false,false,
livetiles.nyc,LiveTiles,false,false,
locqus.com,Locqus,false,false,
logancleantech.com.au,Logan Cleantech Energy,false,false,
longbowadvantage.com,Longbow Advantage,false,true,https://www.longbowadvantage.com/
lumachain.com,Lumachain,false,true,https://lumachain.com
lumafinancialtech.com,Luma Financial Technologies,false,false,
lumilighting.com.au,Lumi,false,false,
luminary.com.au,Luminary,false,false,
mackayminingtech.com.au,Mackay Autonomous Mining,false,false,
macquarietelecom.com,Macquarie Telecom Cloud,false,true,https://www.macquarietelecom.com/
mandurahenviro.com.au,Mandurah Environmental IoT,false,false,
marketplacer.com,Marketplacer,false,true,https://marketplacer.com
maroochydoresmartcity.com.au,Maroochydore Smart City IoT,false,false,
maryboroughrail.com.au,Maryborough Rail Robotics,false,false,
maynepharma.com,Mayne Pharma Tech,false,true,https://maynepharma.com
me3d.com.au,Me3D,false,false,
mealpal.com.au,Mealpal,false,true,https://mealpal.com/au/
mesoblast.com,Mesoblast,false,false,
midfield.com.au,Midfield Automation,false,true,https://midfield.com.au
midlandrail.com.au,Midland Rail Automation,false,false,
mildurafruittech.com.au,Mildura Fruit Tech,false,false,
mobisolutions.com.au,Mobi Solutions,false,true,https://www.mobisolutions.com.au/
monash.edu,Monash MedTech,false,false,
monashivf.com,Monash IVF,false,true,https://monashivf.com
montu.com.au,Montu,false,true,https://www.montu.com.au/
mosh.com.au,Mosh,false,true,https://mosh.com.au
moula.com.au,Moula Money,false,true,https://moula.com.au
mountisaminerals.com.au,Mount Isa Mineral Sensors,false,true,https://www.mountisaminerals.com.au/
mpcleantech.com.au,Mornington Peninsula Cleantech,false,false,
murrayirrigation.com.au,Murray Irrigation Tech,false,true,https://www.murrayirrigation.com.au/
mynd.ai,Mynd.ai,false,true,https://www.mynd.ai/
myriota.com,Myriota,false,true,https://myriota.com
ncs.com.au,NCS Group,false,false,
neighbourlytics.com,Neighbourlytics,false,true,https://www.neighbourlytics.com/
netapp.com,NetApp AU,false,false,
neumannspace.com,Neumann Space,false,true,https://neumannspace.com
newmanmining.com.au,Newman Mining Telemetry,false,false,
nexgen.net.au,Nexgen,false,true,https://nexgen.net.au
ningaloomarine.com.au,Ningaloo Marine Telemetry,false,false,
noeticgroup.com,Noetic Group Tech,false,true,https://atturra.com/au-en/solutions/advisory-consulting/
noosabiosphere.com.au,Noosa Biosphere Tech,false,false,
northambroadacre.com.au,Northam Broadacre Tech,false,false,
northeasttelco.com.au,North East Telco,false,false,
notiv.com,Notiv,false,true,https://notiv.com
ntfleet.com.au,NT Fleet Telematics,false,false,
nura.com,Nura,false,false,
octaneai.com,Octane AI,false,true,https://octaneai.com
octet.com.au,Octet,false,true,https://www.octet.com/
openpay.com.au,Openpay Tech,false,true,https://pay.com.au/
opensolar.com,OpenSolar,false,true,https://www.opensolar.com/
opmantek.com,Opmantek Software,false,true,https://firstwave.com/
opthea.com,Opthea,false,true,https://ceryvyn.com/
outpostcentral.com,Outpost Central,false,true,https://outpostcentral.com
pairtree.com.au,Pairtree,false,true,https://pairtree.com.au
partly.com,Partly,false,true,https://www.partly.com/
pathzero.com,Pathzero,false,true,https://pathzero.com
pavefinance.com.au,Pave Finance,false,true,https://pavefinance.com.au
paxon.com.au,Paxon Group,false,true,https://paxon.com.au
paydock.com,Paydock,false,true,https://paydock.com
pepperstone.com,Pepperstone,false,true,https://pepperstone.com/en-au
personifycare.com,Personify Care,false,false,
pilbaraminingtech.com.au,Pilbara Autonomous Mining,false,false,
planetinnovation.com.au,Planet Innovation,false,true,https://planetinnovation.com/
pocketed.com.au,Pocketed,false,true,https://pocketed.com.au
pointerra.com,Pointerra,false,true,https://www.pointerra.com/
polynovo.com,Polynovo,false,true,https://polynovo.com
portaugustasolar.com.au,Port Augusta Solar Thermal,false,false,
porthedlandmaritime.com.au,Port Hedland Maritime Radar,false,false,
portlincolnmarine.com.au,Port Lincoln Marine Tech,false,true,https://www.portlincolnmarine.com.au/
pozi.com,Pozi,false,true,https://pozi.com
precisionagriculture.com.au,Precision Agriculture Australia,false,true,https://precisionagriculture.com.au
preezie.com,Preezie,false,true,https://preezie.com
prezzee.com,Prezzee,false,true,https://prezzee.com/en-us
procreate.com,Savage Interactive,false,true,https://procreate.com
procurious.com,Procurious,false,true,https://www.procurious.com/
promedicus.com.au,Pro Medicus,false,true,https://www.promed.com.au/
pronavigator.ai,ProNavigator,false,true,https://www.guidewire.com:443/products/technology/insurance-ai-from-guidewire/pronavigator
proqual.com.au,Proqual,false,true,https://proqual.com.au
quantium.com.au,Quantium,false,true,https://quantium.com/
quantxlabs.com,QuantX Labs,false,true,https://quantxlabs.com
rayner.com.au,Rayner,false,true,https://www.rayner.com.au/
realtimenetworks.com.au,RealTime Networks,false,false,
redlandmarine.com.au,Redland Marine BioSensors,false,false,
resmed.com,ResMed Digital,false,true,https://www.resmed.com.au/
rezdy.com,Rezdy,false,false,
rezeco.com.au,Rezeco,false,false,
rezola.com.au,Rezola,false,false,
riverlandirrigation.com.au,Riverland Irrigation IoT,false,false,
rmeglobal.com,Russell Mineral Equipment Tech,false,false,
robinahealthtech.com.au,Robina Healthtech Solutions,false,false,
romapastoral.com.au,Roma Pastoral Tech,false,false,
rosterfy.com,Rosterfy,false,true,https://www.rosterfy.com:443/
roxbydownstech.com.au,Roxby Downs Remote Mining,false,false,
saab.com,Saab Australia Digital,false,true,https://www.saab.com/
samsara.com,Samsara Networks AU,false,true,https://www.samsara.com/
scalapay.com,Scalapay,false,true,https://www.scalapay.com/
scancam.com.au,Scancam,false,true,https://sensen.ai/fuel-theft-prevention/
scenegroup.com.au,Scene Group Tech,false,false,
sealite.com.au,Sealite,false,false,
seerdata.com.au,Seer Data,false,true,https://seerdata.ai:443/
seqta.com.au,SEQTA Software,false,true,https://www.tes.com/en-au/for-schools/seqta
sherlok.com.au,Sherlok,false,true,https://www.sherlok.com.au/
sievertlarsen.com,Sievert Larsen,false,false,
silentiumdefence.com.au,Silentium Defence,false,true,https://www.silentiumdefence.com.au/
skoolbag.com.au,Skoolbag,false,true,https://audiri.com.au/
skyfii.com,Skyfii,false,false,
smartcitiesiot.com.au,Smart Cities IoT Australia,false,false,
smartfarmune.com.au,SMART Farm UNE,false,false,
smartsatcrc.com,SmartSat CRC,false,true,https://smartsatcrc.com
snapsend.com.au,SnapSend,false,false,
sol-secure.com.au,Sol-Secure,false,false,
somnomed.com.au,SomnoMed,false,false,
southerncrosscomputing.com.au,Southern Cross Computing,false,false,
southernriverinaiot.com.au,Southern Riverina IoT,false,false,
southwestagtech.com.au,South West Agtech Bunbury,false,false,
southwestiot.com.au,South West IoT,false,false,
spendless.com.au,Spendless,false,true,https://www.spendless.com.au/
splend.com.au,Splend Tech,false,true,https://www.splend.com/
spookfish.com,Spookfish Geospatial,false,false,
sportsbet.com.au,Sportsbet Tech,false,true,https://www.sportsbet.com.au/
sproutx.com.au,SproutX Regional Tech,false,false,
stanthorpeappletech.com.au,Stanthorpe Apple Tech,false,false,
starofthesouth.com.au,Star of the South Telemetry,false,true,https://southerlyten.com.au/project/star-of-the-south/
starpharma.com,Starpharma,false,false,
stax.io,Stax,false,true,https://versent.com.au/modern-run/versent-landing-zone/
steller.com.au,Steller,false,false,
stileeducation.com,Stile Education,false,true,https://stileeducation.com/au/index.html
strikingly.com,Strikingly,false,true,https://www.strikingly.com/
subiacocloud.com.au,Subiaco Cloud Technologies,false,false,
subzerorobotics.com.au,Subzero Robotics,false,false,
sunitafe.edu.au,SuniTAFE Smart Farm,false,false,
sunraysiasolar.com.au,Sunraysia Solar Telemetry,false,false,
telnyx.com,Telnyx,false,true,https://telnyx.com
tether.io,Tether,false,true,https://tether.io
thindata.com.au,Thindata,false,false,
tideways.com.au,Tideways,false,false,
tillpoint.com,Tillpoint,false,true,https://www.tillpoint.com/
tillr.io,Tillr,false,true,https://tillr.io
timelio.com.au,Timelio,false,true,https://timelio.com.au
tonsleycleanenergy.com.au,Tonsley Clean Energy Tech,false,false,
townsvilleporttech.com.au,Townsville Port Telemetry,false,false,
trace.io,Trace Together AU,false,false,
tractorventures.com,Tractor Ventures,false,true,https://www.tractorventures.com/
tradesquare.com.au,TradeSquare,false,true,https://www.tradesquare.com.au/
ubercarshare.com,Uber Carshare,false,false,
updraft.com.au,Updraft,false,true,https://updraft.com.au
vantage-dc.com,Vantage Data Centres,false,true,https://vantage-dc.com
vapar.co,VAPAR,false,true,https://www.vapar.co/
varsitylakescloud.com.au,Varsity Lakes Cloud Lab,false,false,
venly.io,Venly,false,true,https://www.venly.io/
venngroup.com,Venn Group AU,false,true,https://www.venngroup.com/
verida.io,Verida,false,false,
versarien.com,Versarien AU,false,false,
versent.com.au,Versent,false,true,https://versent.com.au
verto.com.au,Verto,false,false,
victorharborsensors.com.au,Victor Harbor Coastal Sensors,false,false,
violetx.com.au,VioletX,false,false,
vixtechnology.com,Vix Technology,false,true,https://vixtechnology.com
vocus.com.au,Vocus Group,false,true,https://www.vocus.com.au/
weel.com.au,Weel,false,true,https://letsweel.com/
weipamaritime.com.au,Weipa Maritime Logistics,false,false,
wettropicsbiosensors.com.au,Wet Tropics BioSensors,false,false,
whogivesacrap.org,Who Gives A Crap,false,true,https://au.whogivesacrap.org/
whyallagreensteel.com.au,Whyalla Green Steel Tech,false,false,
willowinc.com,Willow Technology,false,true,https://willowinc.com
xplicit.com.au,Xplicit,false,false,
xref.com,Xref,false,true,https://www.xref.com/
yarno.com.au,Yarno,false,true,https://www.yarno.com.au/
yarravalleycloud.com.au,Yarra Valley Cloud Systems,false,false,
zeroco.com.au,Zero Co,false,false,
zerolatencyvr.com,Zero Latency VR,false,true,https://zerolatencyvr.com
zutec.com,Zutec AU,false,true,https://zutec.com
