name,domain,city,status,pages_checked,address_candidates,next_action
Family Zone Tech,familyzone.com,Perth,no_candidate_found,https://www.qustodio.com:443/en/familyzone/ | https://www.qustodio.com:443/en/familyzone/contact | https://www.qustodio.com:443/en/familyzone/contact-us | https://www.qustodio.com:443/en/familyzone/locations,,Verify candidate text on the cited first-party page before geocoding.
CVCheck Tech,cvcheck.com,Perth,no_candidate_found,https://cvcheck.com/ | https://cvcheck.com/contact | https://cvcheck.com/contact-us | https://cvcheck.com/locations,,Verify candidate text on the cited first-party page before geocoding.
SEQTA Software,seqta.com.au,Perth,no_candidate_found,https://www.tes.com/en-au/for-schools/seqta | https://www.tes.com/en-au/for-schools/seqta/contact | https://www.tes.com/en-au/for-schools/seqta/contact-us | https://www.tes.com/en-au/for-schools/seqta/locations,,Verify candidate text on the cited first-party page before geocoding.
Bankwest Digital,bankwest.com.au,Perth,no_candidate_found,https://www.bankwest.com.au/ | https://www.bankwest.com.au/contact | https://www.bankwest.com.au/contact-us | https://www.bankwest.com.au/locations,,Verify candidate text on the cited first-party page before geocoding.
Silentium Defence,silentiumdefence.com.au,Adelaide,no_candidate_found,https://www.silentiumdefence.com.au/ | https://www.silentiumdefence.com.au/contact-us/ | https://www.silentiumdefence.com.au/locations,,Verify candidate text on the cited first-party page before geocoding.
Dspace Australia,dspace.com,Adelaide,no_candidate_found,https://www.dspace.com/en/pub/home.cfm/ | https://www.dspace.com/en/pub/home.cfm/contact | https://www.dspace.com/en/pub/home.cfm/contact-us | https://www.dspace.com/en/pub/home.cfm/locations,,Verify candidate text on the cited first-party page before geocoding.
Saab Australia Digital,saab.com,Adelaide,no_candidate_found,https://www.saab.com/ | https://www.saab.com/contact | https://www.saab.com/contact-us | https://www.saab.com/locations,,Verify candidate text on the cited first-party page before geocoding.
Port Lincoln Marine Tech,portlincolnmarine.com.au,Port Lincoln,no_candidate_found,https://www.portlincolnmarine.com.au/ | https://www.portlincolnmarine.com.au/contact | https://www.portlincolnmarine.com.au/contact-us | https://www.portlincolnmarine.com.au/locations,,Verify candidate text on the cited first-party page before geocoding.
Savage Interactive,procreate.com,Hobart,no_candidate_found,https://procreate.com/ | https://procreate.com/contact | https://procreate.com/contact-us | https://procreate.com/locations,,Verify candidate text on the cited first-party page before geocoding.
Charles Darwin University Deeptech,cdu.edu.au,Darwin,no_candidate_found,https://www.cdu.edu.au/ | https://www.cdu.edu.au/contact | https://www.cdu.edu.au/contact-us | https://www.cdu.edu.au/locations,,Verify candidate text on the cited first-party page before geocoding.
Employment Innovations,employmentinnovations.com,Sydney,no_candidate_found,https://www.employmentinnovations.com/ | https://www.employmentinnovations.com/contact | https://www.employmentinnovations.com/contact-us | https://www.employmentinnovations.com/locations,,Verify candidate text on the cited first-party page before geocoding.
Sonder,sonder.io,Sydney,no_candidate_found,https://sonder.io/ | https://sonder.io/talk-to-sales/ | https://sonder.io/contact-us | https://sonder.io/locations,,Verify candidate text on the cited first-party page before geocoding.
Willow Technology,willowinc.com,Sydney,no_candidate_found,https://willowinc.com/ | https://willowinc.com/contact-us/,,Verify candidate text on the cited first-party page before geocoding.
Who Gives A Crap,whogivesacrap.org,Melbourne,no_candidate_found,https://au.whogivesacrap.org/ | https://au.whogivesacrap.org/contact | https://au.whogivesacrap.org/contact-us | https://au.whogivesacrap.org/locations,,Verify candidate text on the cited first-party page before geocoding.
Good Pair Days,goodpairdays.com,Sydney,no_candidate_found,https://www.goodpairdays.com/au/ | https://www.goodpairdays.com/au/contact | https://www.goodpairdays.com/au/contact-us | https://www.goodpairdays.com/au/locations,,Verify candidate text on the cited first-party page before geocoding.
Zero Latency VR,zerolatencyvr.com,Melbourne,no_candidate_found,https://zerolatencyvr.com/ | https://zerolatencyvr.com/contact | https://zerolatencyvr.com/contact-us | https://zerolatencyvr.com/locations,,Verify candidate text on the cited first-party page before geocoding.
VAPAR,vapar.co,Sydney,no_candidate_found,https://www.vapar.co/ | https://www.vapar.co/contact | https://www.vapar.co/contact-us | https://www.vapar.co/locations,,Verify candidate text on the cited first-party page before geocoding.
CIM Tech,cim.io,Sydney,no_candidate_found,https://www.cim.io/ | https://www.cim.io/contact | https://www.cim.io/locations,,Verify candidate text on the cited first-party page before geocoding.
InDebted,indebted.co,Sydney,address_candidate_needs_verification,https://www.indebted.co/ | https://www.indebted.co/support | https://www.indebted.co/contact-us | https://www.indebted.co/locations,300 Barangaroo Avenue Barangaroo NSW 2000,Verify candidate text on the cited first-party page before geocoding.
OpenSolar,opensolar.com,Sydney,no_candidate_found,https://www.opensolar.com/ | https://www.opensolar.com/contact | https://www.opensolar.com/contact-us | https://www.opensolar.com/locations,,Verify candidate text on the cited first-party page before geocoding.
GivEngineering,givengineering.com,Melbourne,no_candidate_found,https://givengineering.com/ | https://givengineering.com/contact | https://givengineering.com/contact-us | https://givengineering.com/locations,,Verify candidate text on the cited first-party page before geocoding.
Lumachain,lumachain.com,Sydney,no_candidate_found,https://lumachain.com/ | https://lumachain.com/contact | https://lumachain.com/contact-us | https://lumachain.com/locations,,Verify candidate text on the cited first-party page before geocoding.
Endua,endua.com,Brisbane,no_candidate_found,https://www.endua.com/ | https://www.endua.com/contact | https://www.endua.com/contact-us | https://www.endua.com/locations,,Verify candidate text on the cited first-party page before geocoding.
Splend Tech,splend.com.au,Sydney,no_candidate_found,https://www.splend.com/ | https://www.splend.com/contact | https://www.splend.com/contact-us/ | https://www.splend.com/locations,,Verify candidate text on the cited first-party page before geocoding.
SmartSat CRC,smartsatcrc.com,Adelaide,no_candidate_found,https://smartsatcrc.com/ | https://smartsatcrc.com/smartsat-crc-conference-2024/contact/ | https://smartsatcrc.com/contact-us | https://smartsatcrc.com/locations,,Verify candidate text on the cited first-party page before geocoding.
Nanosonics,nanosonics.com.au,Sydney,no_candidate_found,https://www.nanosonics.com.au/ | https://www.nanosonics.com.au/about-us/contact | https://www.nanosonics.com.au/contact-us | https://www.nanosonics.com.au/locations,,Verify candidate text on the cited first-party page before geocoding.
Polynovo,polynovo.com,Melbourne,no_candidate_found,https://polynovo.com/ | https://polynovo.com/contact-us-au/ | https://polynovo.com/locations,,Verify candidate text on the cited first-party page before geocoding.
Clinuvel Pharmaceuticals,clinuvel.com,Melbourne,no_candidate_found,https://www.clinuvel.com/ | https://www.clinuvel.com/contact/ | https://www.clinuvel.com/contact-us | https://www.clinuvel.com/locations,,Verify candidate text on the cited first-party page before geocoding.
Opthea,opthea.com,Melbourne,no_candidate_found,https://ceryvyn.com/ | https://ceryvyn.com/contact/ | https://ceryvyn.com/contact-us | https://ceryvyn.com/locations,,Verify candidate text on the cited first-party page before geocoding.
Mayne Pharma Tech,maynepharma.com,Adelaide,no_candidate_found,https://www.maynepharma.com/ | https://www.maynepharma.com/contact | https://www.maynepharma.com/contact-us | https://www.maynepharma.com/locations,,Verify candidate text on the cited first-party page before geocoding.
Genetic Signatures,geneticsignatures.com,Sydney,no_candidate_found,https://geneticsignatures.com/au/ | https://geneticsignatures.com/au/contact/ | https://geneticsignatures.com/au/contact-us | https://geneticsignatures.com/au/locations,,Verify candidate text on the cited first-party page before geocoding.
Anatara Lifesciences,anataralifesciences.com,Melbourne,no_candidate_found,https://anataralifesciences.com/ | https://anataralifesciences.com/contact/ | https://anataralifesciences.com/contact-us | https://anataralifesciences.com/locations,,Verify candidate text on the cited first-party page before geocoding.
Dimerix,dimerix.com,Melbourne,no_candidate_found,https://dimerix.com/ | https://dimerix.com/contact/ | https://dimerix.com/contact-us | https://dimerix.com/locations,,Verify candidate text on the cited first-party page before geocoding.
Invetech Group,invetechgroup.com,Melbourne,no_candidate_found,https://www.invetechgroup.com/ | https://www.invetechgroup.com/contact-us/ | https://www.invetechgroup.com/locations,,Verify candidate text on the cited first-party page before geocoding.
Planet Innovation,planetinnovation.com.au,Melbourne,no_candidate_found,https://planetinnovation.com/ | https://planetinnovation.com/contact/ | https://planetinnovation.com/contact-us | https://planetinnovation.com/locations,,Verify candidate text on the cited first-party page before geocoding.
Grey Innovation,greyinnovation.com,Melbourne,no_candidate_found,https://www.greyinnovation.com/ | https://www.greyinnovation.com/contact | https://www.greyinnovation.com/contact-us | https://www.greyinnovation.com/locations,,Verify candidate text on the cited first-party page before geocoding.
CardieX,cardiex.com,Sydney,no_candidate_found,https://conneqthealth.com/ | https://conneqthealth.com/contact-us/ | https://conneqthealth.com/locations,,Verify candidate text on the cited first-party page before geocoding.
