domain,name,has_location_evidence
tideways.com.au,Tideways,false
tillpoint.com,Tillpoint,false
tillr.io,Tillr,false
timelio.com.au,Timelio,false
tonsleycleanenergy.com.au,Tonsley Clean Energy Tech,false
townsvilleporttech.com.au,Townsville Port Telemetry,false
trace.io,Trace Together AU,false
tractorventures.com,Tractor Ventures,false
tradesquare.com.au,TradeSquare,false
ubercarshare.com,Uber Carshare,false
updraft.com.au,Updraft,false
vantage-dc.com,Vantage Data Centres,false
vapar.co,VAPAR,false
varsitylakescloud.com.au,Varsity Lakes Cloud Lab,false
venly.io,Venly,false
venngroup.com,Venn Group AU,false
verida.io,Verida,false
veridapt.com,Veridapt,true
versarien.com,Versarien AU,false
versent.com.au,Versent,false
verto.com.au,Verto,false
victorharborsensors.com.au,Victor Harbor Coastal Sensors,false
violetx.com.au,VioletX,false
vixtechnology.com,Vix Technology,false
vocus.com.au,Vocus Group,false
weel.com.au,Weel,false
weipamaritime.com.au,Weipa Maritime Logistics,false
wettropicsbiosensors.com.au,Wet Tropics BioSensors,false
whogivesacrap.org,Who Gives A Crap,false
whyallagreensteel.com.au,Whyalla Green Steel Tech,false
willowinc.com,Willow Technology,false
xplicit.com.au,Xplicit,false
xref.com,Xref,false
yarno.com.au,Yarno,false
yarravalleycloud.com.au,Yarra Valley Cloud Systems,false
zeroco.com.au,Zero Co,false
zerolatencyvr.com,Zero Latency VR,false
zutec.com,Zutec AU,false
