name,domain,city,harvest_status,source_url,http_status,page_title,meta_description,diagnostic,next_action
Central West Solar IoT,centralwestsolar.com.au,Bathurst,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Murray Irrigation Tech,murrayirrigation.com.au,Finley,reachable_but_metadata_unavailable,https://www.murrayirrigation.com.au/,200,,,,Find an authoritative company source before creating a seed fixture.
Ballina Cloud Systems,ballinacloud.com.au,Ballina,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Fologram,fologram.com,Melbourne,metadata_captured_needs_human_assessment,https://fologram.com,200,Fologram Fologram,Mixed reality for architecture and construction,,Assess this primary-source metadata before creating a seed fixture.
FormFlow,formflow.com.au,Geelong,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Keech 3D Advanced Manufacturing,keech3d.com.au,Bendigo,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Bendigo Telco Tech,bendigotelco.com.au,Bendigo,metadata_captured_needs_human_assessment,https://bendigotelco.com.au,200,"Bendigo Telco | Your Trusted, Community-focused Technology Partner","From reliable IT Managed Services and advanced cloud solutions to secure mobile and internet plans, we deliver the expertise and support you need to stay connected and thrive, with a customer-first approach that drives positive community impact.",,Assess this primary-source metadata before creating a seed fixture.
Cogent,cogent.co,Melbourne,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Moula Money,moula.com.au,Melbourne,metadata_captured_needs_human_assessment,https://moula.com.au,200,Business Loans | Easily Apply Online for Your Business | Moula,"Business loans from Moula are a better way to grow your business. Apply online for up to $500,000. Once approved, get funding in 24 hours.",,Assess this primary-source metadata before creating a seed fixture.
Pepperstone,pepperstone.com,Melbourne,metadata_captured_needs_human_assessment,https://pepperstone.com/en-au,200,Australia's leading online forex and CFD broker | Pepperstone,"Australia's leading online forex and CFD broker. Trade global markets with tight spreads, fast execution and platforms like MT4, MT5 and TradingView.",,Assess this primary-source metadata before creating a seed fixture.
Sportsbet Tech,sportsbet.com.au,Melbourne,metadata_captured_needs_human_assessment,https://www.sportsbet.com.au/,200,Best Online Horse Racing and Sports Betting | Sportsbet,"Bet on horse racing, AFL, rugby and other events with Sportsbet. Download the App & Get Access to Tons of Great Betting Features.",,Assess this primary-source metadata before creating a seed fixture.
Openpay Tech,openpay.com.au,Melbourne,metadata_captured_needs_human_assessment,https://pay.com.au/,200,Be Rewarded for Business Payments | pay.com.au,"Earn credit card points on any business payment. ATO, suppliers, rent, super - pay by card when you usually can't. Expert advice and concierge service.",,Assess this primary-source metadata before creating a seed fixture.
TradeSquare,tradesquare.com.au,Melbourne,metadata_captured_needs_human_assessment,https://www.tradesquare.com.au/,200,SLOT777: Login Resmi Slot Gacor 777 Jackpot Maxwin Gampang Menang Indonesia,Slot777 adalah rekomendasi login resmi situs slot gacor 777 jackpot maxwin paling gampang menang hari ini di Indonesia.,,Assess this primary-source metadata before creating a seed fixture.
Versent,versent.com.au,Melbourne,metadata_captured_needs_human_assessment,https://versent.com.au,200,Versent | Digital Transformation Experts & Cloud Consultants,"Versent delivers purpose-built AWS cloud solutions for leading enterprises in AUS, SG and USA. Explore our digital transformation services.",,Assess this primary-source metadata before creating a seed fixture.
Austeng Tech,austeng.net.au,Geelong,metadata_captured_needs_human_assessment,https://austeng.net.au,200,Austeng Click to open the search input field,Visualise Engineer Deliver,,Assess this primary-source metadata before creating a seed fixture.
Imagine Intelligent Materials,imgmaterials.com,Geelong,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Boomaroo Tech,boomaroo.com,Lara,reachable_but_metadata_unavailable,https://boomaroo.com,200,,,,Find an authoritative company source before creating a seed fixture.
Federation Tech Park,fedunitechpark.com.au,Ballarat,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Ballarat Cloud Solutions,ballaratcloud.com.au,Ballarat,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Eaglehawk Software,eaglehawksoftware.com.au,Bendigo,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Central Victorian Solar IoT,centralvicsolar.com.au,Bendigo,metadata_captured_needs_human_assessment,https://centralvicsolar.com.au,200,Coming Soon,,,Assess this primary-source metadata before creating a seed fixture.
Gippsland Water Digital,gippswater.com.au,Traralgon,metadata_captured_needs_human_assessment,https://www.gippswater.com.au/,200,Gippsland Water | Victorian Regional Water Corporation,"Gippsland Water: Home We supply clean drinking water to over 75,662 households and businesses, and wastewater services to 68,092 households and businesses across 43 towns and communities.",,Assess this primary-source metadata before creating a seed fixture.
Star of the South Telemetry,starofthesouth.com.au,Traralgon,metadata_captured_needs_human_assessment,https://southerlyten.com.au/project/star-of-the-south/,200,Star of the South | Southerly Ten,"Star of the South is Australia’s most advanced offshore wind project, proposed off the Gippsland coast in Bass Strait.",,Assess this primary-source metadata before creating a seed fixture.
Latrobe Valley Engineering Tech,latrobevalleynetwork.com.au,Morwell,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Kagome Digital Ag,kagome.com.au,Echuca,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Goulburn Valley Telemetry,gvtelemetry.com.au,Shepparton,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
SuniTAFE Smart Farm,sunitafe.edu.au,Mildura,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Mildura Fruit Tech,mildurafruittech.com.au,Mildura,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Sunraysia Solar Telemetry,sunraysiasolar.com.au,Mildura,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Deakin Marine Tech Warrnambool,deakinmarinetech.com.au,Warrnambool,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Midfield Automation,midfield.com.au,Warrnambool,metadata_captured_needs_human_assessment,https://midfield.com.au,200,Midfield Group | Australian-Owned Meat Processor Since 1975,"Proudly 100% Australian-owned and family-run since 1975, Midfield Group is a leading meat processor. From farm to plate, we deliver premium beef, lamb and veal domestically and internationally.",,Assess this primary-source metadata before creating a seed fixture.
South West IoT,southwestiot.com.au,Warrnambool,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Albury Wodonga Digital Health,awdigitalhealth.com.au,Wodonga,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
North East Telco,northeasttelco.com.au,Wangaratta,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Goulburn River Glass Tech,goulburnglass.com.au,Seymour,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Yarra Valley Cloud Systems,yarravalleycloud.com.au,Lilydale,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Dandenong Robotics Centre,dandenongrobotics.com.au,Dandenong,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Frankston Healthtech Lab,frankstonhealthtech.com.au,Frankston,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Mornington Peninsula Cleantech,mpcleantech.com.au,Mornington,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Bairnsdale Marine Sensors,bairnsdalemarine.com.au,Bairnsdale,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Castlemaine Engineering Tech,castlemaineengineering.com.au,Castlemaine,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Ballarat Solar Tech,ballaratsolar.com.au,Ballarat,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Geelong Aerospace Sensors,geelongaerospace.com.au,Geelong,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Opmantek Software,opmantek.com,Gold Coast,metadata_captured_needs_human_assessment,https://firstwave.com/,200,AI-Powered Network Compliance & Management | FirstWave,"One AI-powered suite to discover every device, prove network compliance continuously, and automate remediation across cloud and hybrid networks. Book a demo.",,Assess this primary-source metadata before creating a seed fixture.
Russell Mineral Equipment Tech,rmeglobal.com,Toowoomba,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
ENVIROFIBRE Tech,envirofibre.com.au,Sunshine Coast,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Coastr Technology,coastr.com,Gold Coast,reachable_but_metadata_unavailable,https://www.coastr.com/,200,,,,Find an authoritative company source before creating a seed fixture.
Cityzen Tech,cityzen.com.au,Gold Coast,metadata_captured_needs_human_assessment,https://cityzen.com.au,200,CityZen,CityZen supplies drone and location data services,,Assess this primary-source metadata before creating a seed fixture.
AgTech Central,agtechcentral.com.au,Toowoomba,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Wellcamp Aerospace Tech,wellcampaerospace.com.au,Toowoomba,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Cairns Aviation Tech,cairnsaviation.com.au,Cairns,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Wet Tropics BioSensors,wettropicsbiosensors.com.au,Cairns,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Far North Telemetry,farnorthtelemetry.com.au,Cairns,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
JCU Marine Deeptech,jcumaredeptech.com.au,Townsville,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Townsville Port Telemetry,townsvilleporttech.com.au,Townsville,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
CopperString Digital,copperstringdigital.com.au,Townsville,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Mackay Autonomous Mining,mackayminingtech.com.au,Mackay,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
CQUniversity Agtech,cquagtech.com.au,Rockhampton,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Bundaberg Brew Tech,bundabergbrewtech.com.au,Bundaberg,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Gladstone Hydrogen Telemetry,gladstonehydrogen.com.au,Gladstone,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Bowen Basin Telematics,bowenbasin.com.au,Emerald,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Hervey Bay Marine Electronics,herveybaymarine.com.au,Hervey Bay,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Maroochydore Smart City IoT,maroochydoresmartcity.com.au,Sunshine Coast,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Noosa Biosphere Tech,noosabiosphere.com.au,Noosa,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Gold Coast Robotics Hub,gcroboticshub.com.au,Gold Coast,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Varsity Lakes Cloud Lab,varsitylakescloud.com.au,Gold Coast,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Robina Healthtech Solutions,robinahealthtech.com.au,Gold Coast,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Ipswich Defense Robotics,ipswichdefenserobotics.com.au,Ipswich,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Logan Cleantech Energy,logancleantech.com.au,Logan,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Redland Marine BioSensors,redlandmarine.com.au,Cleveland,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Caboolture Ag Systems,cabooltureagsystems.com.au,Caboolture,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Gympie Timber Tech,gympietimbertech.com.au,Gympie,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Maryborough Rail Robotics,maryboroughrail.com.au,Maryborough,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Chinchilla Gas Telemetry,chinchillagas.com.au,Chinchilla,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Roma Pastoral Tech,romapastoral.com.au,Roma,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Mount Isa Mineral Sensors,mountisaminerals.com.au,Mount Isa,metadata_captured_needs_human_assessment,https://www.mountisaminerals.com.au/,200,Mount Isa Minerals – Queensland’s Premier Critical Minerals Frontier,,,Assess this primary-source metadata before creating a seed fixture.
Atherton Tablelands Agtech,athertonagtech.com.au,Atherton,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Weipa Maritime Logistics,weipamaritime.com.au,Weipa,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Innisfail Sugar Automation,innisfailsugar.com.au,Innisfail,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Stanthorpe Apple Tech,stanthorpeappletech.com.au,Stanthorpe,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Spookfish Geospatial,spookfish.com,Perth,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Pointerra,pointerra.com,Perth,metadata_captured_needs_human_assessment,https://www.pointerra.com/,200,Digital Twin & 3D Data Management Platform | Functional Digital Twin Software | Pointerra3D,"Build functional digital twins that cut workflows, reduce site visits and unlock faster 3D data insights across infrastructure, utilities, transport and mining.",,Assess this primary-source metadata before creating a seed fixture.
Family Zone Tech,familyzone.com,Perth,metadata_captured_needs_human_assessment,https://www.qustodio.com:443/en/familyzone/,200,Family Zone | Qustodio,Family Zone has joined forces with Qustodio to help give parents better visibility of their children's online activities and balance screen time.,,Assess this primary-source metadata before creating a seed fixture.
CVCheck Tech,cvcheck.com,Perth,metadata_captured_needs_human_assessment,https://cvcheck.com,200,CVCheck Employment Background Screening,CVCheck is Australia's leading employment screening and verification provider and is trusted by thousands of employers. Find out how we can streamline your screening and hiring processes today.,,Assess this primary-source metadata before creating a seed fixture.
SEQTA Software,seqta.com.au,Perth,metadata_captured_needs_human_assessment,https://www.tes.com/en-au/for-schools/seqta,200,SEQTA – School learning management system | Tes,"Discover our leading learning management system SEQTA, previously part of Education Horizons, now part of Tes. Streamline teaching and learning today!",,Assess this primary-source metadata before creating a seed fixture.
Scene Group Tech,scenegroup.com.au,Perth,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Bankwest Digital,bankwest.com.au,Perth,metadata_captured_needs_human_assessment,https://www.bankwest.com.au/,200,"Just Enough Bank: Home loans, Bank accounts, Credit cards | Bankwest","Enjoy just enough bank with an app that fits seamlessly into your day-to-day. Check out our everyday banking, savings accounts, home loans & credit cards.",,Assess this primary-source metadata before creating a seed fixture.
Pilbara Autonomous Mining,pilbaraminingtech.com.au,Karratha,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
South West Agtech Bunbury,southwestagtech.com.au,Bunbury,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Kalgoorlie Mine Automation,kalgoorliemining.com.au,Kalgoorlie,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Ningaloo Marine Telemetry,ningaloomarine.com.au,Exmouth,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Albany Wave Energy Tech,albanywaveenergy.com.au,Albany,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Geraldton Wind Robotics,geraldtonwind.com.au,Geraldton,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Busselton Viticulture Sensors,busseltonviti.com.au,Busselton,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Fremantle Subsea Robotics,fremantlesubsea.com.au,Fremantle,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Broome Pearl BioSensors,broomepearl.com.au,Broome,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Esperance Grain Logistics,esperancegrain.com.au,Esperance,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Port Hedland Maritime Radar,porthedlandmaritime.com.au,Port Hedland,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Kwinana Industrial Digital Twin,kwinanadigitaltwin.com.au,Kwinana,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Henderson Marine Defence,hendersondefence.com.au,Henderson,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Subiaco Cloud Technologies,subiacocloud.com.au,Perth,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Joondalup Cyber Academy Tech,joondalupcyber.com.au,Joondalup,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Midland Rail Automation,midlandrail.com.au,Midland,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Mandurah Environmental IoT,mandurahenviro.com.au,Mandurah,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Northam Broadacre Tech,northambroadacre.com.au,Northam,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Newman Mining Telemetry,newmanmining.com.au,Newman,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Silentium Defence,silentiumdefence.com.au,Adelaide,metadata_captured_needs_human_assessment,https://www.silentiumdefence.com.au/,200,Silentium Defence | Passive Radar Systems for Covert Surveillance,"Silentium Defence is a global leader in passive radar systems for defence and space surveillance. Detect threats covertly — no emissions, no spectrum licence needed.",,Assess this primary-source metadata before creating a seed fixture.
Acacia Systems,acaciasystems.com.au,Adelaide,metadata_captured_needs_human_assessment,https://www.acaciasystems.com.au/,200,Acacia Systems,,,Assess this primary-source metadata before creating a seed fixture.
Dspace Australia,dspace.com,Adelaide,metadata_captured_needs_human_assessment,https://www.dspace.com/en/pub/home.cfm,200,Home - dSPACE,"Around the world, dSPACE helps companies make their visions and ideas come to life faster and more reliably. In this we take pride. We are your partner in simulation and validation.",,Assess this primary-source metadata before creating a seed fixture.
CogBI Analytics,cogbi.com.au,Adelaide,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
BAE Systems Digital SA,baesystems.com,Adelaide,reachable_but_metadata_unavailable,https://www.baesystems.com/,200,,,,Find an authoritative company source before creating a seed fixture.
Saab Australia Digital,saab.com,Adelaide,metadata_captured_needs_human_assessment,https://www.saab.com/,200,Saab | Keeping people and society safe 644165B1-510F-49FB-8AB0-3185EBD2A97A 03C338FB-EE6F-4BC2-8F6C-1A484FAC7C7E,"Saab serves the global market of governments, authorities and corporations with products, services and solutions ranging from military defence to civil security.",,Assess this primary-source metadata before creating a seed fixture.
Tonsley Clean Energy Tech,tonsleycleanenergy.com.au,Adelaide,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Whyalla Green Steel Tech,whyallagreensteel.com.au,Whyalla,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Port Augusta Solar Thermal,portaugustasolar.com.au,Port Augusta,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Forestry South East Telemetry,forestryse.com.au,Mount Gambier,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Barossa Wine Digital,barossawinedigital.com.au,Tanunda,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Port Lincoln Marine Tech,portlincolnmarine.com.au,Port Lincoln,metadata_captured_needs_human_assessment,https://www.portlincolnmarine.com.au/,200,Port Lincoln Marine | Marine Services and Mercury engine sales in Port Lincoln,Explore expert marine services and Mercury engine sales at Port Lincoln Marine. Serving Port Lincoln and Eyre Peninsula with top-quality solutions.,,Assess this primary-source metadata before creating a seed fixture.
Riverland Irrigation IoT,riverlandirrigation.com.au,Renmark,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Clare Valley Viticulture Tech,clarevalleytech.com.au,Clare,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Roxby Downs Remote Mining,roxbydownstech.com.au,Roxby Downs,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Victor Harbor Coastal Sensors,victorharborsensors.com.au,Victor Harbor,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Ceduna Satellite Earth Station,cedunasatellite.com.au,Ceduna,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Savage Interactive,procreate.com,Hobart,metadata_captured_needs_human_assessment,https://procreate.com,200,Procreate — Creative apps designed for iPad,"Powerful and easy-to-use drawing and animation apps, made for both creative professionals and aspiring artists. Pay once. No subscription.",,Assess this primary-source metadata before creating a seed fixture.
Bell Bay Clean Hydrogen Digital,bellbayhydrogen.com.au,George Town,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Devonport Agricultural Automation,devonportagtech.com.au,Devonport,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Burnie Advanced Composites,burniecomposites.com.au,Burnie,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Charles Darwin University Deeptech,cdu.edu.au,Darwin,metadata_captured_needs_human_assessment,https://www.cdu.edu.au/,200,Home | Charles Darwin University Charles Darwin University,"Explore courses, research and student life at Charles Darwin University. Find your future and apply or enquire today.",,Assess this primary-source metadata before creating a seed fixture.
NT Fleet Telematics,ntfleet.com.au,Darwin,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Arnhem Space Tech,arnhemspace.com.au,Nhulunbuy,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Alice Springs Solar Desert Tech,alicespringssolar.com.au,Alice Springs,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Employment Innovations,employmentinnovations.com,Sydney,metadata_captured_needs_human_assessment,https://www.employmentinnovations.com/,200,Outsourced HR & Payroll Services - Employment Innovations,"Does your SME need outsourced Payroll, HR & Employment services? Contact us now at Employment Innovations to book a free consultation with one of our experts.",,Assess this primary-source metadata before creating a seed fixture.
Uber Carshare,ubercarshare.com,Sydney,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Sonder,sonder.io,Sydney,metadata_captured_needs_human_assessment,https://sonder.io,200,Employee Wellbeing Platform | EAP Alternative | Sonder,"Sonder's employee care platform is the future of workforce health, medical, safety and wellbeing. One platform. All the support. Learn more.",,Assess this primary-source metadata before creating a seed fixture.
GigaComm,gigacomm.net.au,Sydney,metadata_captured_needs_human_assessment,https://www.gigacomm.net.au/,200,Gigacomm | Home,,,Assess this primary-source metadata before creating a seed fixture.
