domain,name,ambiguous_input_text,has_accepted_location,has_active_location_evidence,cleanup_disposition
astutepayroll.com,Astute Payroll,"George Street, Sydney NSW 2000, Australia",false,false,no_active_location_evidence
athertonagtech.com.au,Atherton Tablelands Agtech,"Main Street, Atherton QLD 4883, Australia",false,false,no_active_location_evidence
austeng.net.au,Austeng Tech,"Tucker Street, Breakwater VIC 3219, Australia",false,false,no_active_location_evidence
autoguru.com.au,AutoGuru,"Queen Street, Brisbane QLD 4000, Australia",false,false,no_active_location_evidence
awdigitalhealth.com.au,Albury Wodonga Digital Health,"High Street, Wodonga VIC 3690, Australia",false,false,no_active_location_evidence
azured.com.au,Azured,"Queen Street, Brisbane QLD 4000, Australia",false,false,no_active_location_evidence
baesystems.com,BAE Systems Digital SA,"West Avenue, Edinburgh SA 5111, Australia",false,false,no_active_location_evidence
bairnsdalemarine.com.au,Bairnsdale Marine Sensors,"Main Street, Bairnsdale VIC 3875, Australia",false,false,no_active_location_evidence
ballaratcloud.com.au,Ballarat Cloud Solutions,"Lydiard Street, Ballarat VIC 3350, Australia",false,false,no_active_location_evidence
ballaratsolar.com.au,Ballarat Solar Tech,"Sturt Street, Ballarat VIC 3350, Australia",false,false,no_active_location_evidence
ballinacloud.com.au,Ballina Cloud Systems,"River Street, Ballina NSW 2478, Australia",false,false,no_active_location_evidence
barossawinedigital.com.au,Barossa Wine Digital,"Murray Street, Tanunda SA 5352, Australia",false,false,no_active_location_evidence
bartondeakin.com,Barton Deakin,"George Street, Sydney NSW 2000, Australia",true,true,superseded_by_accepted_location
beamery.com,Beamery,"George Street, Sydney NSW 2000, Australia",false,false,no_active_location_evidence
beefledger.io,BeefLedger,"Peel Street, Tamworth NSW 2340, Australia",false,false,no_active_location_evidence
behavox.com,Behavox AU,"George Street, Sydney NSW 2000, Australia",false,false,no_active_location_evidence
bellbayhydrogen.com.au,Bell Bay Clean Hydrogen Digital,"Bell Bay Road, Bell Bay TAS 7253, Australia",false,false,no_active_location_evidence
bendigotelco.com.au,Bendigo Telco Tech,"High Street, Bendigo VIC 3550, Australia",false,false,no_active_location_evidence
bionomics.com.au,Bionomics,"Dalgleish Street, Thebarton SA 5031, Australia",false,false,no_active_location_evidence
boomaroo.com,Boomaroo Tech,"Geelong-Bacchus Marsh Road, Lara VIC 3212, Australia",true,true,superseded_by_accepted_location
bowenbasin.com.au,Bowen Basin Telematics,"Clermont Street, Emerald QLD 4720, Australia",false,false,no_active_location_evidence
braiins.com,Braiins,"George Street, Sydney NSW 2000, Australia",false,false,no_active_location_evidence
broomepearl.com.au,Broome Pearl BioSensors,"Chinatown, Carnarvon Street, Broome WA 6725, Australia",false,false,no_active_location_evidence
buildpass.com.au,Buildpass,"George Street, Sydney NSW 2000, Australia",false,false,no_active_location_evidence
bundabergbrewtech.com.au,Bundaberg Brew Tech,"Bargara Road, Bundaberg QLD 4670, Australia",false,false,no_active_location_evidence
burniecomposites.com.au,Burnie Advanced Composites,"Mount Street, Burnie TAS 7320, Australia",false,false,no_active_location_evidence
busseltonviti.com.au,Busselton Viticulture Sensors,"Queen Street, Busselton WA 6280, Australia",false,false,no_active_location_evidence
butn.com.au,Butn,"George Street, Sydney NSW 2000, Australia",true,true,superseded_by_accepted_location
cabooltureagsystems.com.au,Caboolture Ag Systems,"King Street, Caboolture QLD 4510, Australia",false,false,no_active_location_evidence
canstar.com.au,Canstar,"Queen Street, Brisbane QLD 4000, Australia",false,false,no_active_location_evidence
caradvice.com.au,Caradvice,"Collins Street, Melbourne VIC 3000, Australia",false,false,no_active_location_evidence
carbonlink.com.au,CarbonLink,"George Street, Sydney NSW 2000, Australia",false,false,no_active_location_evidence
cardiex.com,CardieX,"Bridge Street, Sydney NSW 2000, Australia",true,false,superseded_by_accepted_location
castlemaineengineering.com.au,Castlemaine Engineering Tech,"Barker Street, Castlemaine VIC 3450, Australia",false,false,no_active_location_evidence
cea.com.au,CEA Technologies,"Gladstone Street, Fyshwick ACT 2609, Australia",false,false,no_active_location_evidence
cedunasatellite.com.au,Ceduna Satellite Earth Station,"Eyre Highway, Ceduna SA 5690, Australia",false,false,no_active_location_evidence
centralvicsolar.com.au,Central Victorian Solar IoT,"Pall Mall, Bendigo VIC 3550, Australia",false,false,no_active_location_evidence
centralwestsolar.com.au,Central West Solar IoT,"William Street, Bathurst NSW 2795, Australia",false,false,no_active_location_evidence
chinchillagas.com.au,Chinchilla Gas Telemetry,"Heeney Street, Chinchilla QLD 4413, Australia",false,false,no_active_location_evidence
cim.io,CIM Tech,"O'Connell Street, Sydney NSW 2000, Australia",true,true,superseded_by_accepted_location
cityzen.com.au,Cityzen Tech,"Bundall Road, Bundall QLD 4217, Australia",false,false,no_active_location_evidence
civx.com.au,CivX,"King William Street, Adelaide SA 5000, Australia",false,false,no_active_location_evidence
clarevalleytech.com.au,Clare Valley Viticulture Tech,"Main North Road, Clare SA 5453, Australia",false,false,no_active_location_evidence
clevertar.com,Clevertar,"King William Street, Adelaide SA 5000, Australia",false,false,no_active_location_evidence
clinuvel.com,Clinuvel Pharmaceuticals,"Swanston Street, Melbourne VIC 3000, Australia",false,false,no_active_location_evidence
clueylearning.com.au,Cluey Learning,"George Street, Sydney NSW 2000, Australia",true,true,superseded_by_accepted_location
coastr.com,Coastr Technology,"Marine Parade, Southport QLD 4215, Australia",false,false,no_active_location_evidence
cogbi.com.au,CogBI Analytics,"North Terrace, Adelaide SA 5000, Australia",false,false,no_active_location_evidence
cogent.co,Cogent,"Swan Street, Richmond VIC 3121, Australia",false,false,no_active_location_evidence
cogitogroup.com.au,Cogito Group,"London Circuit, Canberra City ACT 2601, Australia",false,false,no_active_location_evidence
compono.com,Compono,"Queen Street, Brisbane QLD 4000, Australia",true,true,superseded_by_accepted_location
compumedics.com.au,Compumedics,"Victoria Street, Abbotsford VIC 3067, Australia",false,false,no_active_location_evidence
copperstringdigital.com.au,CopperString Digital,"Flinders Street, Townsville QLD 4810, Australia",false,false,no_active_location_evidence
corelogic.com.au,CoreLogic AU,"George Street, Sydney NSW 2000, Australia",false,false,no_active_location_evidence
coupa.com,Coupa Software AU,"George Street, Sydney NSW 2000, Australia",false,false,no_active_location_evidence
creditorwatch.com.au,Creditor Watch,"George Street, Sydney NSW 2000, Australia",false,false,no_active_location_evidence
csl.com,CSL Limited,"Poplar Road, Parkville VIC 3052, Australia",false,false,no_active_location_evidence
curationcorp.com,Curation Corp,"George Street, Sydney NSW 2000, Australia",false,false,no_active_location_evidence
cvcheck.com,CVCheck Tech,"Hasler Road, Osborne Park WA 6017, Australia",false,false,no_active_location_evidence
cyara.com,Cyara,"Collins Street, Melbourne VIC 3000, Australia",true,true,superseded_by_accepted_location
cyban.com.au,Cyban,"St Georges Terrace, Perth WA 6000, Australia",false,false,no_active_location_evidence
cyclopharm.com.au,Cyclopharm,"Commercial Road, Kingsgrove NSW 2208, Australia",false,false,no_active_location_evidence
dandenongrobotics.com.au,Dandenong Robotics Centre,"Cheltenham Road, Dandenong VIC 3175, Australia",false,false,no_active_location_evidence
datamesh.com.au,DataMesh,"Collins Street, Melbourne VIC 3000, Australia",false,false,no_active_location_evidence
datanzo.com.au,Datanzo,"George Street, Sydney NSW 2000, Australia",false,false,no_active_location_evidence
deakinmarinetech.com.au,Deakin Marine Tech Warrnambool,"Princes Highway, Warrnambool VIC 3280, Australia",false,false,no_active_location_evidence
devicie.com,Devicie,"Walker Street, North Sydney NSW 2060, Australia",true,true,superseded_by_accepted_location
devonportagtech.com.au,Devonport Agricultural Automation,"Rooke Street, Devonport TAS 7310, Australia",false,false,no_active_location_evidence
dextro.com.au,Dextro,"Collins Street, Melbourne VIC 3000, Australia",false,false,no_active_location_evidence
dimerix.com,Dimerix,"Johnston Street, Fitzroy VIC 3065, Australia",true,true,superseded_by_accepted_location
divipay.com.au,Divipay,"George Street, Sydney NSW 2000, Australia",false,false,no_active_location_evidence
dremio.com,Dremio (Australia Hub),"North Terrace, Adelaide SA 5000, Australia",false,false,no_active_location_evidence
dspace.com,Dspace Australia,"MAB Circuit, Tonsley SA 5042, Australia",true,true,superseded_by_accepted_location
eaglehawksoftware.com.au,Eaglehawk Software,"Victoria Street, Eaglehawk VIC 3556, Australia",false,false,no_active_location_evidence
easygo.gg,Easygo Gaming,"Collins Street, Melbourne VIC 3000, Australia",false,false,no_active_location_evidence
employmentinnovations.com,Employment Innovations,"Kent Street, Sydney NSW 2000, Australia",true,false,superseded_by_accepted_location
endua.com,Endua,"Kerry Road, Archerfield QLD 4108, Australia",false,false,no_active_location_evidence
entegy.com.au,Entegy,"Collins Street, Melbourne VIC 3000, Australia",false,false,no_active_location_evidence
envirofibre.com.au,ENVIROFIBRE Tech,"Enterprise Street, Kunda Park QLD 4556, Australia",false,false,no_active_location_evidence
esperancegrain.com.au,Esperance Grain Logistics,"Dempster Street, Esperance WA 6450, Australia",false,false,no_active_location_evidence
euclideon.com,Euclideon,"Queen Street, Brisbane QLD 4000, Australia",false,false,no_active_location_evidence
everty.com.au,Everty,"George Street, Sydney NSW 2000, Australia",true,true,superseded_by_accepted_location
ezypay.com,Ezypay,"George Street, Sydney NSW 2000, Australia",true,true,superseded_by_accepted_location
faethm.ai,Faethm AI,"George Street, Sydney NSW 2000, Australia",false,false,no_active_location_evidence
familyzone.com,Family Zone Tech,"Kings Park Road, West Perth WA 6005, Australia",false,false,no_active_location_evidence
farmdeck.com,Farmdeck,"Summer Street, Orange NSW 2800, Australia",true,true,superseded_by_accepted_location
farnorthtelemetry.com.au,Far North Telemetry,"Grafton Street, Cairns QLD 4870, Australia",false,false,no_active_location_evidence
fedunitechpark.com.au,Federation Tech Park,"University Drive, Mount Helen VIC 3350, Australia",false,false,no_active_location_evidence
ferocia.com.au,Ferocia,"Collins Street, Melbourne VIC 3000, Australia",false,false,no_active_location_evidence
ferronova.com.au,Ferronova,"King William Street, Adelaide SA 5000, Australia",false,false,no_active_location_evidence
fincast.io,Fincast,"George Street, Sydney NSW 2000, Australia",false,false,no_active_location_evidence
finpo.com.au,Finpo,"George Street, Sydney NSW 2000, Australia",false,false,no_active_location_evidence
fletch.ai,Fletch AI,"Collins Street, Melbourne VIC 3000, Australia",false,false,no_active_location_evidence
flexigroup.com.au,FlexiGroup,"George Street, Sydney NSW 2000, Australia",true,true,superseded_by_accepted_location
fluidly.com,Fluidly AU,"Collins Street, Melbourne VIC 3000, Australia",false,false,no_active_location_evidence
fologram.com,Fologram,"Flinders Street, Melbourne VIC 3000, Australia",false,false,no_active_location_evidence
forestryse.com.au,Forestry South East Telemetry,"Commercial Street, Mount Gambier SA 5290, Australia",false,false,no_active_location_evidence
forter.com,Forter Australia,"Martin Place, Sydney NSW 2000, Australia",true,false,superseded_by_accepted_location
frankly.com.au,Frankly,"George Street, Sydney NSW 2000, Australia",true,true,superseded_by_accepted_location
frankstonhealthtech.com.au,Frankston Healthtech Lab,"Nepean Highway, Frankston VIC 3199, Australia",false,false,no_active_location_evidence
fremantlesubsea.com.au,Fremantle Subsea Robotics,"Cliff Street, Fremantle WA 6160, Australia",false,false,no_active_location_evidence
gcroboticshub.com.au,Gold Coast Robotics Hub,"Nerang Street, Southport QLD 4215, Australia",false,false,no_active_location_evidence
geelongaerospace.com.au,Geelong Aerospace Sensors,"Station Street, North Shore VIC 3214, Australia",false,false,no_active_location_evidence
geneticsignatures.com,Genetic Signatures,"Castlereagh Street, Sydney NSW 2000, Australia",true,true,superseded_by_accepted_location
geographe.com.au,Geographe,"Queen Street, Busselton WA 6280, Australia",false,false,no_active_location_evidence
geolyse.com,Geolyse Tech,"Kite Street, Orange NSW 2800, Australia",false,false,no_active_location_evidence
geraldtonwind.com.au,Geraldton Wind Robotics,"Marine Terrace, Geraldton WA 6530, Australia",false,false,no_active_location_evidence
getconga.com,Conga AU,"George Street, Sydney NSW 2000, Australia",false,false,no_active_location_evidence
gigacomm.net.au,GigaComm,"Castlereagh Street, Sydney NSW 2000, Australia",true,false,superseded_by_accepted_location
gippswater.com.au,Gippsland Water Digital,"Hazelwood Road, Traralgon VIC 3844, Australia",false,false,no_active_location_evidence
givengineering.com,GivEngineering,"Argyle Street, Fitzroy VIC 3065, Australia",false,false,no_active_location_evidence
gladstonehydrogen.com.au,Gladstone Hydrogen Telemetry,"Goondoon Street, Gladstone QLD 4680, Australia",false,false,no_active_location_evidence
goanna.ag,Goanna Ag,"Margaret Street, Toowoomba QLD 4350, Australia",false,false,no_active_location_evidence
goodpairdays.com,Good Pair Days,"Dunning Avenue, Rosebery NSW 2018, Australia",false,false,no_active_location_evidence
goulburnglass.com.au,Goulburn River Glass Tech,"Emily Street, Seymour VIC 3660, Australia",false,false,no_active_location_evidence
greatwrap.co,Great Wrap,"Tullamarine, Tullamarine VIC 3043, Australia",false,false,no_active_location_evidence
greener.com.au,Greener,"Queen Street, Brisbane QLD 4000, Australia",true,true,superseded_by_accepted_location
greenpowerenergy.com.au,GreenPower Energy,"St Georges Terrace, Perth WA 6000, Australia",false,false,no_active_location_evidence
greensync.com.au,GreenSync,"Collins Street, Melbourne VIC 3000, Australia",true,true,superseded_by_accepted_location
gretel.ai,Gretel.ai,"George Street, Sydney NSW 2000, Australia",false,false,no_active_location_evidence
greyinnovation.com,Grey Innovation,"Cremorne Street, Cremorne VIC 3121, Australia",false,false,no_active_location_evidence
groundbreaker.co,Groundbreaker,"Queen Street, Brisbane QLD 4000, Australia",false,false,no_active_location_evidence
gvtelemetry.com.au,Goulburn Valley Telemetry,"Wyndham Street, Shepparton VIC 3630, Australia",false,false,no_active_location_evidence
gympietimbertech.com.au,Gympie Timber Tech,"Mary Street, Gympie QLD 4570, Australia",false,false,no_active_location_evidence
haikudeck.com,Haiku Deck AU,"George Street, Sydney NSW 2000, Australia",false,false,no_active_location_evidence
halaxy.com,Halaxy,"Collins Street, Melbourne VIC 3000, Australia",false,false,no_active_location_evidence
harvestroad.com.au,Harvest Road,"High Street, Fremantle WA 6160, Australia",false,false,no_active_location_evidence
hatch.team,Hatch,"Collins Street, Melbourne VIC 3000, Australia",false,false,no_active_location_evidence
haventec.com,Haventec,"George Street, Sydney NSW 2000, Australia",true,true,superseded_by_accepted_location
hendersondefence.com.au,Henderson Marine Defence,"Cockburn Road, Henderson WA 6166, Australia",false,false,no_active_location_evidence
herveybaymarine.com.au,Hervey Bay Marine Electronics,"Boat Harbour Drive, Urangan QLD 4655, Australia",false,false,no_active_location_evidence
hivery.com,Hivery,"George Street, Sydney NSW 2000, Australia",true,true,superseded_by_accepted_location
hiveuav.com,HiveUAV,"Hunter Street, Newcastle NSW 2300, Australia",false,false,no_active_location_evidence
honeyflow.com.au,Flow Hive Tech,"Centennial Circuit, Byron Bay NSW 2481, Australia",false,false,no_active_location_evidence
humanitix.com,Humanitix,"George Street, Sydney NSW 2000, Australia",false,false,no_active_location_evidence
hunterhydrogentech.com.au,Hunter Hydrogen Tech,"Wharf Road, Newcastle NSW 2300, Australia",false,false,no_active_location_evidence
hydrix.com,Hydrix Group,"Springvale Road, Mulgrave VIC 3170, Australia",false,false,no_active_location_evidence
hydronautics.com.au,Hydronautics,"High Street, Fremantle WA 6160, Australia",false,false,no_active_location_evidence
hylo.com,Hylo,"Collins Street, Melbourne VIC 3000, Australia",false,false,no_active_location_evidence
hyperanna.com,Hyper Anna,"George Street, Sydney NSW 2000, Australia",false,false,no_active_location_evidence
hyperdigital.com.au,Hyper Digital,"St Georges Terrace, Perth WA 6000, Australia",false,false,no_active_location_evidence
hypersensesoftware.com.au,Hypersense Software,"Scott Street, Newcastle NSW 2300, Australia",false,false,no_active_location_evidence
hypertune.com,Hypertune,"George Street, Sydney NSW 2000, Australia",false,false,no_active_location_evidence
imgmaterials.com,Imagine Intelligent Materials,"Nicol Drive, Waurn Ponds VIC 3216, Australia",true,false,superseded_by_accepted_location
inauro.com.au,Inauro,"George Street, Sydney NSW 2000, Australia",true,true,superseded_by_accepted_location
indebted.co,InDebted,"Spring Street, Sydney NSW 2000, Australia",true,true,superseded_by_accepted_location
infotrack.com.au,InfoTrack,"George Street, Sydney NSW 2000, Australia",false,false,no_active_location_evidence
inovor.com.au,Inovor Technologies,"North Terrace, Adelaide SA 5000, Australia",false,false,no_active_location_evidence
insentra.com,Insentra,"George Street, Sydney NSW 2000, Australia",true,true,superseded_by_accepted_location
instantscripts.com.au,InstantScripts,"Collins Street, Melbourne VIC 3000, Australia",false,false,no_active_location_evidence
intelledox.com,Intelledox,"London Circuit, Canberra City ACT 2601, Australia",false,false,no_active_location_evidence
intellicheck.com.au,Intellicheck,"Collins Street, Melbourne VIC 3000, Australia",false,false,no_active_location_evidence
intellihr.com,IntelliHR,"Queen Street, Brisbane QLD 4000, Australia",false,false,no_active_location_evidence
intergraph.com.au,Intergraph AU,"St Georges Terrace, Perth WA 6000, Australia",false,false,no_active_location_evidence
interlate.com,Interlate,"Queen Street, Brisbane QLD 4000, Australia",true,true,superseded_by_accepted_location
intersective.com,Intersective,"George Street, Sydney NSW 2000, Australia",false,false,no_active_location_evidence
intopia.digital,Intopia,"George Street, Sydney NSW 2000, Australia",false,false,no_active_location_evidence
invetechgroup.com,Invetech Group,"Ricketts Road, Mount Waverley VIC 3149, Australia",false,false,no_active_location_evidence
ipswichdefenserobotics.com.au,Ipswich Defense Robotics,"Brisbane Street, Ipswich QLD 4305, Australia",false,false,no_active_location_evidence
jaxsta.com,Jaxsta,"George Street, Sydney NSW 2000, Australia",false,false,no_active_location_evidence
jcumaredeptech.com.au,JCU Marine Deeptech,"Angus Smith Drive, Douglas QLD 4814, Australia",false,false,no_active_location_evidence
jemena.com.au,Jemena,"George Street, Sydney NSW 2000, Australia",true,true,superseded_by_accepted_location
joii.com.au,Joii,"Collins Street, Melbourne VIC 3000, Australia",false,false,no_active_location_evidence
joondalupcyber.com.au,Joondalup Cyber Academy Tech,"Kendrew Crescent, Joondalup WA 6027, Australia",false,false,no_active_location_evidence
joust.com.au,Joust,"King William Street, Adelaide SA 5000, Australia",false,false,no_active_location_evidence
kablamo.com.au,Kablamo,"George Street, Sydney NSW 2000, Australia",true,true,superseded_by_accepted_location
kalgoorliemining.com.au,Kalgoorlie Mine Automation,"Hannan Street, Kalgoorlie WA 6430, Australia",false,false,no_active_location_evidence
kinexus.com.au,Kinexus,"George Street, Sydney NSW 2000, Australia",false,false,no_active_location_evidence
kiralearning.com,Kira Learning,"George Street, Sydney NSW 2000, Australia",false,false,no_active_location_evidence
klayo.com,Klayo,"Queen Street, Brisbane QLD 4000, Australia",false,false,no_active_location_evidence
koala.com,Koala Tech,"Bourke Road, Alexandria NSW 2015, Australia",false,false,no_active_location_evidence
koba.com.au,Koba Insurance,"Chapel Street, South Yarra VIC 3141, Australia",false,false,no_active_location_evidence
kurrajong.com.au,Kurrajong Tech,"Chaston Street, Wagga Wagga NSW 2650, Australia",false,false,no_active_location_evidence
kwinanadigitaltwin.com.au,Kwinana Industrial Digital Twin,"Mason Road, Kwinana Beach WA 6167, Australia",false,false,no_active_location_evidence
laingorourke.com,Laing O Rourke Digital,"George Street, Sydney NSW 2000, Australia",false,false,no_active_location_evidence
latrobevalleynetwork.com.au,Latrobe Valley Engineering Tech,"Commercial Road, Morwell VIC 3840, Australia",true,false,superseded_by_accepted_location
legalvision.com.au,Legalvision,"George Street, Sydney NSW 2000, Australia",false,false,no_active_location_evidence
limeade.com,Limeade AU,"George Street, Sydney NSW 2000, Australia",false,false,no_active_location_evidence
liminalbiosciences.com,Liminal BioSciences AU,"Collins Street, Melbourne VIC 3000, Australia",false,false,no_active_location_evidence
livestockwatersolutions.com.au,Livestock Water Solutions,"Frome Street, Moree NSW 2400, Australia",false,false,no_active_location_evidence
livetiles.nyc,LiveTiles,"George Street, Sydney NSW 2000, Australia",false,false,no_active_location_evidence
localsearch.com.au,Localsearch,"Cavill Avenue, Surfers Paradise QLD 4217, Australia",true,true,superseded_by_accepted_location
locqus.com,Locqus,"Collins Street, Melbourne VIC 3000, Australia",false,false,no_active_location_evidence
logancleantech.com.au,Logan Cleantech Energy,"Wembley Road, Logan Central QLD 4114, Australia",false,false,no_active_location_evidence
longbowadvantage.com,Longbow Advantage,"Queen Street, Brisbane QLD 4000, Australia",false,false,no_active_location_evidence
lumachain.com,Lumachain,"Bridge Street, Sydney NSW 2000, Australia",true,false,superseded_by_accepted_location
lumafinancialtech.com,Luma Financial Technologies,"George Street, Sydney NSW 2000, Australia",false,false,no_active_location_evidence
lumilighting.com.au,Lumi,"Queen Street, Brisbane QLD 4000, Australia",false,false,no_active_location_evidence
luminary.com.au,Luminary,"Collins Street, Melbourne VIC 3000, Australia",false,false,no_active_location_evidence
mackayminingtech.com.au,Mackay Autonomous Mining,"Sydney Street, Mackay QLD 4740, Australia",false,false,no_active_location_evidence
macquarietelecom.com,Macquarie Telecom Cloud,"George Street, Sydney NSW 2000, Australia",false,false,no_active_location_evidence
mandurahenviro.com.au,Mandurah Environmental IoT,"Mandurah Terrace, Mandurah WA 6210, Australia",false,false,no_active_location_evidence
marketplacer.com,Marketplacer,"Collins Street, Melbourne VIC 3000, Australia",false,false,no_active_location_evidence
maroochydoresmartcity.com.au,Maroochydore Smart City IoT,"First Avenue, Maroochydore QLD 4558, Australia",false,false,no_active_location_evidence
maryboroughrail.com.au,Maryborough Rail Robotics,"Bazaar Street, Maryborough QLD 4650, Australia",false,false,no_active_location_evidence
maynepharma.com,Mayne Pharma Tech,"Main North Road, Salisbury SA 5108, Australia",false,false,no_active_location_evidence
me3d.com.au,Me3D,"Squires Way, North Wollongong NSW 2500, Australia",false,false,no_active_location_evidence
mealpal.com.au,Mealpal,"Collins Street, Melbourne VIC 3000, Australia",false,false,no_active_location_evidence
mesoblast.com,Mesoblast,"Collins Street, Melbourne VIC 3000, Australia",false,false,no_active_location_evidence
midfield.com.au,Midfield Automation,"Scott Street, Warrnambool VIC 3280, Australia",false,false,no_active_location_evidence
midlandrail.com.au,Midland Rail Automation,"Railway Road, Midland WA 6056, Australia",false,false,no_active_location_evidence
mildurafruittech.com.au,Mildura Fruit Tech,"Eighth Street, Mildura VIC 3500, Australia",false,false,no_active_location_evidence
minfos.com.au,Minfos,"George Street, Sydney NSW 2000, Australia",true,true,superseded_by_accepted_location
mobisolutions.com.au,Mobi Solutions,"Smith Street, Darwin NT 0800, Australia",false,false,no_active_location_evidence
monash.edu,Monash MedTech,"Wellington Road, Clayton VIC 3800, Australia",false,false,no_active_location_evidence
monashivf.com,Monash IVF,"Collins Street, Melbourne VIC 3000, Australia",false,false,no_active_location_evidence
montu.com.au,Montu,"Collins Street, Melbourne VIC 3000, Australia",false,false,no_active_location_evidence
mosh.com.au,Mosh,"George Street, Sydney NSW 2000, Australia",false,false,no_active_location_evidence
moula.com.au,Moula Money,"Bourke Street, Melbourne VIC 3000, Australia",true,true,superseded_by_accepted_location
mountisaminerals.com.au,Mount Isa Mineral Sensors,"Marian Street, Mount Isa QLD 4825, Australia",true,true,superseded_by_accepted_location
mpcleantech.com.au,Mornington Peninsula Cleantech,"Barkly Street, Mornington VIC 3931, Australia",false,false,no_active_location_evidence
murrayirrigation.com.au,Murray Irrigation Tech,"Warmatta Street, Finley NSW 2713, Australia",true,true,superseded_by_accepted_location
mynd.ai,Mynd.ai,"George Street, Sydney NSW 2000, Australia",false,false,no_active_location_evidence
myriota.com,Myriota,"North Terrace, Adelaide SA 5000, Australia",false,false,no_active_location_evidence
ncs.com.au,NCS Group,"George Street, Sydney NSW 2000, Australia",false,false,no_active_location_evidence
neighbourlytics.com,Neighbourlytics,"Collins Street, Melbourne VIC 3000, Australia",false,false,no_active_location_evidence
netapp.com,NetApp AU,"George Street, Sydney NSW 2000, Australia",false,false,no_active_location_evidence
neumannspace.com,Neumann Space,"Frome Road, Adelaide SA 5000, Australia",false,false,no_active_location_evidence
newmanmining.com.au,Newman Mining Telemetry,"Iron Ore Parade, Newman WA 6753, Australia",false,false,no_active_location_evidence
nexgen.net.au,Nexgen,"Flinders Street, Townsville QLD 4810, Australia",false,false,no_active_location_evidence
ningaloomarine.com.au,Ningaloo Marine Telemetry,"Murat Road, Exmouth WA 6707, Australia",false,false,no_active_location_evidence
noeticgroup.com,Noetic Group Tech,"National Circuit, Barton ACT 2600, Australia",false,false,no_active_location_evidence
noosabiosphere.com.au,Noosa Biosphere Tech,"Thomas Street, Noosaville QLD 4566, Australia",false,false,no_active_location_evidence
northambroadacre.com.au,Northam Broadacre Tech,"Fitzgerald Street, Northam WA 6401, Australia",false,false,no_active_location_evidence
northeasttelco.com.au,North East Telco,"Faithfull Street, Wangaratta VIC 3677, Australia",false,false,no_active_location_evidence
notiv.com,Notiv,"George Street, Sydney NSW 2000, Australia",false,false,no_active_location_evidence
ntfleet.com.au,NT Fleet Telematics,"Stuart Highway, Winnellie NT 0820, Australia",false,false,no_active_location_evidence
nura.com,Nura,"Collins Street, Melbourne VIC 3000, Australia",false,false,no_active_location_evidence
octaneai.com,Octane AI,"George Street, Sydney NSW 2000, Australia",false,false,no_active_location_evidence
octet.com.au,Octet,"George Street, Sydney NSW 2000, Australia",false,false,no_active_location_evidence
